"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.353635400E-2,-2.012962103E0,3.975973845E0,8.375178337E0
1.235363540E-1,-1.186840057E0,4.208376884E0,9.069396019E0
1.735363540E-1,-1.727917075E0,3.549752474E0,8.521140099E0
2.235363540E-1,-1.573280841E-1,3.978366852E0,9.512367249E0
2.735363540E-1,-4.399802685E-1,4.062115669E0,1.010130119E1
3.235363540E-1,-2.413759828E-1,3.920938969E0,9.524331093E0
3.735363540E-1,-4.351946115E-1,3.542573929E0,9.210572243E0
4.235363540E-1,-4.088735580E-1,3.834797382E0,8.621639252E0
4.735363540E-1,-4.926223755E-1,2.527718067E0,9.165108681E0
5.235363540E-1,4.387838542E-1,1.373480201E0,9.399904251E0
5.735363540E-1,2.018645048E0,1.263410330E0,8.286643982E0
6.235363540E-1,3.637090445E0,-1.178465188E-1,6.165406704E0
6.735363540E-1,3.227917671E0,1.232303619E0,9.677472115E0
7.235363540E-1,7.599305630E0,-7.238288224E-2,7.680661678E0
7.735363540E-1,6.368796349E0,1.094716340E-1,9.387641907E0
8.235363540E-1,7.259524822E0,5.682953820E-2,7.163811684E0
8.735363540E-1,8.434998512E0,-4.316053987E-1,7.836493969E0
9.235363540E-1,1.064716339E1,-1.686042666E0,4.362713814E0
9.735363540E-1,8.533104897E0,-5.563312769E-2,8.614460945E0
1.023536354E0,9.210572243E0,-9.966106415E-1,5.861218929E0
1.073536354E0,8.466105461E0,-1.430010676E0,2.574079037E0
1.123536354E0,9.090931892E0,-1.575972795E0,3.486342669E0
1.173536354E0,6.318547249E0,-2.689233541E0,2.303689957E0
1.223536354E0,1.140838051E1,-4.147060871E0,1.779362798E0
1.273536354E0,7.779066563E0,-4.491926193E0,2.808874607E0
1.323536354E0,9.212965012E0,-5.782256126E0,3.005086184E0
1.373536354E0,6.452545166E0,-6.297011852E0,4.353142738E0
1.423536354E0,8.825327873E0,-6.438188553E0,2.088036776E0
1.473536354E0,6.038587093E0,-4.661816597E0,2.085644007E0
1.523536354E0,6.253941059E0,-4.534996986E0,3.962813377E0
1.573536354E0,6.521937370E0,-5.746363640E0,2.787339211E0
1.623536354E0,5.217250824E0,-7.130312443E0,3.682554007E0
1.673536354E0,4.515854359E0,-1.147059345E1,1.776969910E0
1.723536354E0,5.533402443E0,-1.088644600E1,3.979563236E0
1.773536354E0,5.715256691E0,-9.428618431E0,1.566401482E0
1.823536354E0,5.255535603E0,-6.366403580E0,2.665305376E0
1.873536354E0,5.109573841E0,-7.161418915E0,2.751446962E0
1.923536354E0,4.056133270E0,-7.886743546E0,2.174477577E0
1.973536354E0,3.105584621E0,-9.004789352E0,2.638685226E0
2.023536354E0,4.295415878E0,-7.108777046E0,2.679662228E0
2.073536354E0,3.914957047E0,-3.879064560E0,3.323630571E0
2.123536354E0,2.981158018E0,-7.376772881E0,3.474378586E0
2.173536354E0,3.165405273E0,-8.578568459E0,4.106382847E0
2.223536354E0,2.169692039E0,-1.005583763E1,3.467200041E0
2.273536354E0,3.369094372E0,-1.005344391E1,4.649852753E0
2.323536354E0,2.160120726E0,-7.080062866E0,-2.581257522E-1
2.373536354E0,-6.768696904E-1,-9.533903122E0,5.320142269E0
2.423536354E0,2.853440940E-1,-8.715258598E0,3.158226728E0
2.473536354E0,2.159522474E-1,-8.511569023E0,3.428914785E0
2.523536354E0,9.631111473E-2,-1.006301594E1,4.144668102E0
2.573536354E0,-2.485544533E-1,-9.404690742E0,3.086441994E0
2.623536354E0,-1.453639716E-1,-9.098110199E0,4.527818680E0
2.673536354E0,-2.572284266E-2,-9.081359863E0,3.943670750E0
2.723536354E0,3.309273720E0,-1.760220170E0,2.883052111E0
