"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.225520833E-2,4.457730103E-1,7.270381165E0,7.724686432E0
6.211820833E-2,-8.027806091E-1,6.017935638E0,7.009773102E0
1.119802083E-1,7.800279236E-1,6.521937561E0,6.996001740E0
1.618432083E-1,3.842509460E-1,6.649322662E0,6.380930786E0
2.117062083E-1,6.081852722E-1,5.820496216E0,7.238048401E0
2.615692083E-1,2.565664673E0,6.727909241E0,7.854017487E0
3.114312083E-1,1.127605133E0,4.474345551E0,9.593400421E0
3.612942083E-1,1.719324646E0,4.690945129E0,4.205803986E0
4.111573333E-1,3.792363739E0,4.878654785E0,7.993677063E0
4.610203333E-1,4.754263458E0,4.717140656E0,9.742789764E0
5.108823333E-1,-4.367916870E-1,4.753365326E0,5.613626404E0
5.607453333E-1,7.540419617E0,4.895868988E0,6.440506897E0
6.106083333E-1,3.509152679E0,5.698649597E-1,7.007976837E0
6.604713333E-1,4.302652588E0,9.015751648E-1,7.300468597E0
7.103333333E-1,6.674170990E0,-5.197791138E0,2.928210754E0
7.601963333E-1,6.572981415E0,-5.660329285E0,6.370302887E0
8.100593333E-1,1.107980942E1,-8.394094391E0,1.853445740E0
8.599223333E-1,1.499042725E1,-8.264913025E0,4.254752197E0
9.097843333E-1,1.645887360E1,-4.651277618E0,5.574407959E0
9.596473333E-1,1.399918854E1,-5.577551422E0,2.470762024E0
1.009510333E0,6.065087585E0,-1.363664246E-1,8.304580536E0
1.059373333E0,4.682562561E0,-6.452032928E0,1.551523590E0
1.109236333E0,6.363117828E0,-5.964347076E0,-1.933978271E-1
1.159098333E0,2.718945923E0,-6.108497314E0,1.307680664E0
1.208961333E0,6.663992157E0,-8.536148987E0,8.756790161E-2
1.258824333E0,4.744833069E0,-9.650282135E0,2.243833923E-1
1.308687333E0,3.720064087E0,-8.986712036E0,-1.990859985E-2
1.358550333E0,4.424648895E0,-9.179960175E0,5.463638306E-2
1.413399500E0,7.011269989E0,-8.685388641E0,6.297404480E-1
1.463261500E0,3.734733582E0,-9.926457825E0,4.879852295E-1
1.513124500E0,5.319937134E-1,-9.919272766E0,-7.900570679E-1
1.562987500E0,1.538500671E0,-9.174571381E0,-3.543132019E-1
1.612850500E0,2.214045868E0,-8.711733856E0,1.237476654E0
