"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.959620831E-2,1.047566533E-1,-1.141659498E0,4.686915874E-1
1.194592083E-1,1.320298016E-1,-1.197932720E0,3.924550414E-1
1.693212083E-1,-8.423355222E-1,-6.563739777E-1,2.812314034E-1
2.191842083E-1,-1.096703172E0,-1.042999029E0,2.876209915E-1
2.690472083E-1,-4.680167437E-1,-1.746223450E0,-3.985473812E-1
3.189102083E-1,-2.740824223E-1,3.413754106E-1,-3.565799594E-1
3.687722083E-1,-6.083027124E-1,-2.705397367E0,1.368315816E-1
4.186353333E-1,-1.048325181E0,-1.695527196E0,3.727886081E-1
4.684983333E-1,-5.475450158E-1,-6.531794071E-1,-6.772248447E-2
5.183613333E-1,-6.655578017E-1,-1.739934683E0,1.513260126E0
5.682233333E-1,-1.053385735E0,-2.594961643E0,6.040686369E-1
6.180863333E-1,-1.372915745E0,-2.240200520E0,1.399545670E0
6.679493333E-1,-1.680000186E0,-1.591536403E0,2.079426050E0
7.178123333E-1,-3.508289576E0,-2.044621706E0,1.911965489E0
7.676743333E-1,-3.837988853E0,-1.109882474E0,3.585860729E0
8.175373333E-1,-4.226438522E0,-7.210850716E-1,2.605686188E0
8.674003333E-1,-4.278405666E0,-9.115841985E-1,3.047912121E0
9.172633333E-1,-2.686381817E0,-3.551577926E-1,6.963498592E-1
9.671263333E-1,-2.635277271E0,-6.862178445E-1,5.543318987E-1
1.016988333E0,2.777221501E-1,-1.291871905E0,5.594558716E-1
1.066851333E0,-2.297057956E-1,-6.395013630E-2,6.440876722E-1
1.116714333E0,-6.230042502E-2,1.472944021E-1,3.755078614E-1
1.166577333E0,2.802590430E-1,7.845411897E-1,1.194112420E0
1.216440333E0,-9.282346815E-2,4.815837741E-1,1.600467920E0
1.266302333E0,-4.854727685E-1,6.886284947E-1,6.859470606E-1
1.316165333E0,-2.254540622E-1,2.676735520E-1,8.778296113E-1
1.366028333E0,-1.072375774E-1,4.102605283E-1,1.139110684E0
1.415891500E0,-2.173337620E-3,9.510948062E-1,8.155190349E-1
1.465753500E0,8.201743364E-1,-2.634260952E-1,2.538084984E0
1.515616500E0,7.678481936E-1,1.372891784E0,9.566687346E-1
1.565479500E0,-3.289181292E-1,-4.526973963E-1,6.739472747E-1
1.615342500E0,-3.317544162E-1,-1.183671474E0,5.303140283E-1
1.665205500E0,4.984574020E-1,1.016303375E-1,5.613408089E-1
1.715068500E0,6.895381808E-1,-1.436753720E-1,1.182307482E0
1.764930500E0,-1.348113775E0,-3.215023041E0,2.298203468E0
1.814793500E0,1.266671062E0,9.999564290E-2,1.301532507E0
1.864656500E0,6.881768703E-1,7.889997363E-1,3.221713901E-1
1.914519500E0,1.789066941E-1,-8.725056052E-1,1.563186049E-1
1.964382500E0,8.558262140E-2,3.367423415E-1,9.076894075E-2
2.014245500E0,-1.248129755E-1,2.828666866E-1,-8.642864972E-2
2.064107500E0,4.355086386E-2,-2.547663450E-2,-2.706623375E-1
2.113970500E0,5.359110981E-2,2.366349250E-1,-5.848138332E-1
2.163833500E0,2.144998312E-1,-2.135014385E-1,-8.961382508E-1
2.213696500E0,2.867151499E-1,-2.656571567E-1,-7.831191421E-1
2.263559500E0,-4.146008790E-1,-1.136220217E0,-1.394033074E0
2.313422500E0,1.100353241E0,-4.435136914E-3,-9.710137248E-1
2.363285500E0,1.436164379E-1,3.953108191E-1,-7.044360042E-1
2.413148500E0,-7.264958024E-1,2.794688344E-1,-5.615266562E-1
2.463009958E0,-6.536058187E-1,9.448779821E-1,-1.366856247E-1
2.512872958E0,-4.330011010E-1,8.186396360E-1,8.396641910E-2
2.562735958E0,-4.149606824E-1,7.186913490E-1,8.855671436E-2
2.612598958E0,-4.431677163E-1,3.447482288E-1,1.112166047E-1
2.662461958E0,-2.966696322E-1,1.147384644E0,2.297928333E-1
2.712324958E0,2.420420796E-1,9.358416200E-1,2.514868975E-1
2.762187958E0,-3.019685149E-1,4.056153297E-1,4.264709055E-1
2.812050958E0,-1.390533596E-1,1.275341153E0,5.610626340E-1
2.861913958E0,-9.991488606E-2,1.175812960E0,2.535656691E-1
2.911776958E0,-3.219555318E-1,1.123022795E0,7.050944120E-2
2.961639958E0,-2.599153519E-1,1.033567190E0,1.412381083E-1
3.011502958E0,-2.097761631E-1,7.168678045E-1,7.013250142E-2
3.061365958E0,-1.167141199E-1,5.036233068E-1,-9.014610201E-3
3.111228958E0,-1.532725245E-1,3.849548697E-1,-5.701975524E-2
3.161091958E0,-1.675212681E-1,2.789178193E-1,-1.168670431E-1
3.210954958E0,-1.169026867E-1,1.990510821E-1,-4.388352484E-2
3.260817958E0,-6.601691246E-2,1.145660281E-1,-5.479699746E-2
