"Time (s)","X (µT)","Y (µT)","Z (µT)"
6.959620831E-2,3.131771088E0,-1.797991371E1,-5.338148499E1
1.194592083E-1,-1.232299805E-1,-1.865448189E1,-5.317340088E1
1.693212083E-1,-3.600788116E0,-1.799670982E1,-5.320532227E1
2.191842083E-1,-5.729499817E0,-1.488190937E1,-5.421664429E1
2.690472083E-1,-1.022095108E1,-1.349973297E1,-5.370317078E1
3.189102083E-1,-1.176763153E1,-1.267320156E1,-5.376657104E1
3.687722083E-1,-1.395496750E1,-1.177836418E1,-5.355355835E1
4.186353333E-1,-2.102835083E1,-9.861900330E0,-5.088703918E1
4.684983333E-1,-2.372254562E1,-7.127508640E0,-4.983689880E1
5.183613333E-1,-2.660980034E1,-5.255583763E0,-4.980662537E1
5.682233333E-1,-3.144264603E1,-1.599031448E0,-4.603373718E1
6.180863333E-1,-3.686943054E1,1.761301041E0,-4.143370056E1
6.679493333E-1,-4.011090088E1,7.909667969E0,-3.804267883E1
7.178123333E-1,-4.183578491E1,1.529117012E1,-3.291629028E1
7.676743333E-1,-4.138153839E1,2.652643585E1,-2.403305054E1
8.175373333E-1,-3.749706268E1,3.775750732E1,-1.615777588E1
8.674003333E-1,-3.159759903E1,4.489926147E1,-4.291725159E0
9.172633333E-1,-2.691793823E1,4.787996292E1,6.579757690E0
9.671263333E-1,-2.494104767E1,4.785784531E1,1.495635223E1
1.016988333E0,-2.303643036E1,4.688163757E1,1.930855560E1
1.066851333E0,-2.028242111E1,4.742311096E1,1.994270325E1
1.116714333E0,-1.919433594E1,4.715112686E1,2.136103821E1
1.166577333E0,-1.840383530E1,4.710397339E1,2.044289398E1
1.216440333E0,-1.550327301E1,4.852671051E1,1.952654266E1
1.266302333E0,-1.301481628E1,4.980902863E1,2.032209778E1
1.316165333E0,-1.244471359E1,4.901562500E1,1.990758514E1
1.366028333E0,-1.167731857E1,4.757928085E1,2.009937286E1
1.415891500E0,-1.047215271E1,4.777880478E1,1.960740662E1
1.465753500E0,-7.603199005E0,4.834682465E1,1.852437592E1
1.515616500E0,-3.440319061E0,4.911256027E1,1.682116699E1
1.565479500E0,-1.456478119E0,5.004941559E1,1.504942322E1
1.615342500E0,1.223182678E-1,4.959222412E1,1.595780182E1
1.665205500E0,3.039108276E0,4.971334457E1,1.631698608E1
1.715068500E0,5.488235474E0,5.053757858E1,1.501474762E1
1.764930500E0,1.142592621E1,4.928845215E1,1.328620148E1
1.814793500E0,1.606465149E1,4.835890198E1,1.300482941E1
1.864656500E0,2.006571960E1,4.843030167E1,1.073074341E1
1.914519500E0,2.005179596E1,4.839616394E1,8.997177124E0
1.964382500E0,2.063623047E1,4.836939240E1,8.821151733E0
2.014245500E0,2.114318848E1,4.879312515E1,9.254631042E0
2.064107500E0,2.009017944E1,4.852440262E1,8.417518616E0
2.113970500E0,1.943015289E1,4.914302063E1,8.430694580E0
2.163833500E0,1.790972900E1,5.012255478E1,8.282661438E0
2.213696500E0,1.501049805E1,5.052865982E1,7.738006592E0
2.263559500E0,1.346043396E1,5.195830536E1,6.444725037E0
2.313422500E0,1.221025085E1,5.309461212E1,5.959205627E0
2.363285500E0,9.454887390E0,5.325074005E1,4.271057129E0
2.413148500E0,7.871482849E0,5.388077545E1,4.995178223E0
2.463009958E0,6.864360809E0,5.399940491E1,7.686035156E0
2.512872958E0,6.210735321E0,5.309936523E1,9.026290894E0
2.562735958E0,6.450492859E0,5.356369019E1,1.046105194E1
2.612598958E0,6.702041626E0,5.354589081E1,1.147399139E1
2.662461958E0,6.340995789E0,5.287654114E1,1.265192413E1
2.712324958E0,6.573692322E0,5.307219696E1,1.351539612E1
2.762187958E0,7.029090881E0,5.319155121E1,1.371105957E1
2.812050958E0,7.500846863E0,5.207908630E1,1.483820343E1
2.861913958E0,7.958286285E0,5.231796265E1,1.529443359E1
2.911776958E0,7.500102997E0,5.222541046E1,1.636361694E1
2.961639958E0,6.749496460E0,5.172414780E1,1.712841034E1
3.011502958E0,6.831546783E0,5.226905823E1,1.857038116E1
3.061365958E0,6.407360077E0,5.224787903E1,1.963851929E1
3.111228958E0,5.579334259E0,5.149794006E1,1.954602814E1
3.161091958E0,5.576385498E0,5.250939178E1,2.066920471E1
3.210954958E0,4.997554779E0,5.222580719E1,2.083831787E1
3.260817958E0,4.884796143E0,5.199100494E1,2.133936310E1
3.310680958E0,5.013999939E0,5.280116272E1,2.200330353E1
3.360543958E0,5.035541534E0,5.291039276E1,2.234062958E1
3.410406958E0,5.115623474E0,5.252479553E1,2.219063568E1
3.460270583E0,5.793418884E0,5.321131897E1,2.258393097E1
3.510133583E0,5.991710663E0,5.287263489E1,2.297391510E1
3.559996583E0,5.996978760E0,5.275550842E1,2.299222565E1
3.609859583E0,6.500759125E0,5.316694641E1,2.362599945E1
3.659722583E0,6.646789551E0,5.280190277E1,2.335682678E1
3.709585583E0,6.258255005E0,5.279059601E1,2.310540771E1
3.759448583E0,6.499664307E0,5.284597015E1,2.342222595E1
3.809311583E0,6.429431915E0,5.221573639E1,2.285674286E1
3.859174583E0,6.277904510E0,5.171480179E1,2.202076721E1
3.909037583E0,6.758712769E0,5.188777924E1,2.186032104E1
3.958900583E0,6.617904663E0,5.134344101E1,2.109416199E1
4.008763583E0,6.909564972E0,5.066613007E1,2.053049469E1
4.058626583E0,7.604270935E0,5.105446625E1,1.979736328E1
4.108489583E0,7.709739685E0,5.028764725E1,1.835105133E1
4.158352583E0,7.780456543E0,4.995824051E1,1.768264771E1
4.208215583E0,8.365314484E0,5.049683762E1,1.697791290E1
4.258078583E0,8.301303864E0,5.047635269E1,1.604907227E1
4.307941583E0,8.029155731E0,5.030917740E1,1.479817200E1
4.357804583E0,8.680072784E0,5.142344666E1,1.425245667E1
4.407667583E0,8.884910583E0,5.198688507E1,1.309835815E1
4.457529958E0,9.423774719E0,5.283248138E1,1.221199799E1
4.507393958E0,9.695220947E0,5.382228088E1,1.181367493E1
4.557256958E0,9.724845886E0,5.380953217E1,1.092143250E1
4.607119958E0,9.307968140E0,5.416697693E1,1.020420837E1
4.656982958E0,9.092933655E0,5.506161499E1,1.017879486E1
4.706845958E0,9.138755798E0,5.481047058E1,9.470291138E0
4.756708958E0,9.941566467E0,5.509568787E1,8.901481628E0
4.806571958E0,1.048538971E1,5.552523804E1,7.822807312E0
4.856434958E0,1.045697784E1,5.503392029E1,6.560699463E0
4.906297958E0,1.021862793E1,5.492570496E1,6.179069519E0
4.956160958E0,1.084264374E1,5.506497955E1,6.413696289E0
5.006023958E0,1.086219025E1,5.380615997E1,6.555259705E0
5.055886958E0,1.088816071E1,5.344518280E1,7.784385681E0
5.105749958E0,1.148496246E1,5.309086609E1,8.811622620E0
5.155612958E0,1.161378479E1,5.194243622E1,1.013005066E1
5.205475958E0,1.276156616E1,5.197885132E1,1.032189941E1
5.255338958E0,1.326988983E1,5.227027893E1,1.001474762E1
5.305201958E0,1.294156647E1,5.191393280E1,1.014028168E1
5.355064958E0,1.266283417E1,5.104882812E1,1.059336853E1
5.404927958E0,1.263493347E1,5.099455261E1,1.076222229E1
5.454791250E0,1.164723969E1,4.970918274E1,1.022340393E1
5.504654250E0,1.134044647E1,4.950761795E1,1.034042358E1
5.554517250E0,1.143790436E1,4.946326065E1,1.053399658E1
5.604380250E0,1.092973328E1,4.872776794E1,1.019941711E1
5.654243250E0,1.132060242E1,4.921658707E1,1.070709991E1
5.704106250E0,1.178107452E1,4.954654312E1,1.065362549E1
5.753969250E0,1.124047089E1,4.859813309E1,1.077264404E1
5.803832250E0,1.166804504E1,4.912904739E1,1.073275757E1
5.853695250E0,1.242482758E1,4.971071625E1,1.117792511E1
5.903558250E0,1.226164246E1,4.919128799E1,1.085296631E1
5.953421250E0,1.317089081E1,5.041313553E1,1.117858887E1
6.003284250E0,1.344258881E1,5.024808121E1,1.069873047E1
6.053147250E0,1.305575562E1,4.963568497E1,1.024042511E1
6.103010250E0,1.374359131E1,5.048565674E1,1.034192657E1
6.152873250E0,1.462484741E1,5.111015701E1,9.873695374E0
6.202736250E0,1.416329956E1,5.078878021E1,9.723991394E0
6.252600250E0,1.451144409E1,5.079741287E1,1.000774384E1
6.302463250E0,1.440731049E1,5.061380386E1,9.784072876E0
6.352326250E0,1.352860260E1,4.965782166E1,9.623352051E0
6.402189250E0,1.379295349E1,5.002511215E1,9.891662598E0
6.452051750E0,1.375661469E1,4.977388763E1,9.933929443E0
6.501914750E0,1.329626465E1,4.921426010E1,1.008776855E1
6.551777750E0,1.354933167E1,4.978273773E1,1.027713776E1
6.601640750E0,1.351956940E1,4.958618546E1,1.003456879E1
6.651503750E0,1.274533081E1,4.872138977E1,9.730567932E0
6.701366750E0,1.344252777E1,4.961810303E1,9.816528320E0
6.751229750E0,1.317947388E1,4.921417236E1,1.007723236E1
6.801092750E0,1.305972290E1,4.897182083E1,1.035208130E1
6.850955750E0,1.335503387E1,4.930157852E1,1.058305359E1
6.900818750E0,1.323094940E1,4.907383728E1,1.061158752E1
6.950681750E0,1.262436676E1,4.875126648E1,1.039353943E1
7.000544750E0,1.344046021E1,4.974382019E1,1.065618134E1
7.050407750E0,1.322660065E1,4.902630615E1,1.081530762E1
