"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.023396100E-2,-3.613161445E-1,3.713951409E-1,-2.678565085E-1
1.010330760E-1,-8.353336155E-2,1.009425074E-1,-2.370087355E-1
1.518328670E-1,-3.503209054E-1,-9.481876493E-1,-1.409530044E-1
2.026318780E-1,-6.462764144E-1,-1.188097954E0,-2.386885732E-1
2.534301590E-1,-6.398624778E-1,-5.236487985E-1,-2.348707765E-1
3.042292740E-1,-8.394568563E-1,-2.738122940E-1,5.482354015E-2
3.550291170E-1,-7.962393761E-1,-1.169161677E0,4.104893506E-1
4.058290110E-1,-3.341334462E-1,-2.599766016E0,5.653391480E-1
4.566273440E-1,1.734806150E-1,-7.693621516E-1,-2.719797492E-1
5.074264590E-1,2.316638231E-1,4.182776511E-1,-4.375193417E-1
5.582263540E-1,-1.047450304E0,3.787253052E-2,-2.183778882E-1
6.090253650E-1,-2.973757267E0,-6.942279339E-1,5.563291311E-1
6.598236980E-1,-3.594683409E0,-1.184127450E0,1.181073189E0
7.106228650E-1,-3.597584963E0,-1.365549088E0,1.366312623E0
7.614227610E-1,-3.349122763E0,-1.526507258E0,2.118571043E0
8.122217710E-1,-3.182056189E0,-1.338213682E0,1.707012653E0
8.630201040E-1,-3.411581993E0,-1.460993886E0,1.171604991E0
9.138192190E-1,-2.646801233E0,-1.157250166E0,1.835595965E-1
9.646192190E-1,-1.404185176E0,-1.526049137E0,-4.709632397E-1
1.015418282E0,-2.556395829E-1,-2.015643358E0,-9.220739603E-1
1.066216615E0,3.344388679E-2,-1.965859175E0,-3.339807391E-1
1.117015782E0,-9.636115283E-2,-1.176186442E0,-5.030327439E-1
1.167815729E0,-4.671454430E-1,-1.152210593E0,-6.780404449E-1
1.218614792E0,-7.007945180E-1,-1.057682037E0,-2.009687424E-1
1.269413177E0,3.889569938E-1,-1.609887958E0,-5.013529062E-1
1.320212396E0,-4.526378214E-1,2.739650011E-1,-8.735115826E-2
1.371012708E0,-5.375455618E-1,-1.009425074E-1,-3.807105422E-1
1.421811823E0,9.483403563E-1,-6.760551929E-1,-4.321744442E-1
1.472610208E0,9.926267713E-2,7.944068313E-1,-5.022691488E-1
1.523409427E0,-2.658712566E-1,5.309789777E-1,1.134648770E-1
1.574209375E0,-4.314108789E-1,7.463026643E-1,7.073611021E-1
1.625008489E0,-3.184041381E-1,7.304205894E-1,2.366880417E0
1.675806875E0,4.107947648E-2,3.878879920E-2,7.233958840E-1
1.726606093E0,2.182251811E-1,-5.399889946E-1,-3.649812341E-1
1.777406041E0,4.046862945E-2,-1.137855768E0,5.720584393E-1
1.828205156E0,-2.409792393E-1,-1.604237556E0,2.454842329E0
1.879003541E0,-1.404948682E-1,-2.727433145E-1,2.689713240E0
1.929802812E0,-5.445703268E-1,4.672981426E-2,7.798992395E-1
1.980602760E0,-6.749862432E-2,-1.283237338E0,5.630484819E-1
2.031401927E0,-2.776300907E-1,-1.838192105E0,6.265766025E-1
2.082200312E0,6.369609833E-1,-1.676775664E-1,4.115583301E-1
2.132999583E0,1.555369854E0,-1.186112642E0,1.260635972E0
2.183799531E0,2.013963461E0,1.946312070E0,-1.494590521E0
2.234598698E0,7.695148587E-1,1.297744989E0,-6.354338527E-1
2.285397135E0,2.640387416E-1,2.003273487E0,-6.878139973E-1
2.336196406E0,3.692571819E-1,1.218029380E0,-5.445703268E-1
2.386996354E0,1.565448761E0,-8.490777016E-2,-1.598892659E-1
2.437795520E0,1.271020412E0,-1.057987452E0,-1.678302884E-1
2.488593958E0,8.571714163E-1,-7.959339619E-1,2.015795931E-2
2.539393229E0,-2.305948362E-2,-8.047912270E-2,5.367820263E-1
2.590193229E0,-9.355126023E-1,5.980194807E-1,7.363763452E-1
2.640992500E0,-6.533011198E-1,1.232384369E-1,-4.604261220E-1
2.691790885E0,2.075353563E-1,-7.233958840E-1,-2.011672735E0
2.742590156E0,-8.008207679E-1,1.095249176E0,-1.220167428E-1
2.793390156E0,-5.607577562E-1,1.256971002E0,1.788408041E0
2.844189375E0,-4.326325655E-1,1.617676258E0,2.766069174E0
2.894987812E0,-2.974826097E0,-2.288386583E0,8.060129285E-1
2.945787031E0,-1.365701795E0,-1.895611763E0,8.086090684E-1
2.996587135E0,-5.708367825E-1,-1.447708011E0,1.347070932E0
3.047386354E0,-8.402203918E-1,-1.026376128E0,1.418234587E0
3.098184791E0,-1.359135151E0,2.634278834E-1,1.149461865E0
