"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.085573460E-1,-8.635733128E-1,-2.975873947E-1,-8.192048073E-1
1.585573460E-1,-8.999872208E-2,-2.463288307E-1,-1.255064964E0
2.085573460E-1,2.902002335E-1,3.148345947E-1,4.438166618E-1
2.585573460E-1,-4.179313183E-1,-4.083957672E-1,1.198934555E0
3.085573460E-1,-1.372716904E0,-1.449603081E0,2.079062462E0
3.585573460E-1,-5.735239387E-1,-1.712581158E0,-1.897296906E-1
4.085573460E-1,1.625590324E0,3.110146523E-1,6.327295303E-2
4.585573460E-1,9.749035835E-1,2.195037842E0,1.646490097E-1
5.085573460E-1,-6.631157398E-1,-1.795904398E0,4.249696732E-1
5.585573460E-1,-1.186651707E0,-3.971520185E0,-4.095020294E0
6.085573460E-1,-3.580373287E0,-5.221341133E0,-4.104115486E0
6.585573460E-1,5.764124393E-1,-5.412735939E0,-2.696484089E0
7.085573460E-1,2.249816656E0,-2.162793159E0,9.381895065E-1
7.585573460E-1,2.933060646E0,-1.185655117E0,3.517842293E-1
8.085573460E-1,6.913252831E0,8.036651611E-1,3.805088997E0
8.585573460E-1,7.397838116E0,7.293243408E-1,4.517441750E0
9.085573460E-1,6.300921440E0,1.800580502E0,6.232502937E0
9.585573460E-1,5.777706623E0,4.317422867E0,7.412639618E0
1.008557346E0,2.673619270E0,2.919904709E0,5.694828033E0
1.058557346E0,-2.067969799E0,1.147946358E0,2.509523869E0
1.108557346E0,-1.999951363E0,-5.564732552E-1,2.311381817E0
1.158557346E0,8.526992798E-2,-8.147044182E-1,1.817312002E0
1.208557346E0,1.103725433E-1,-2.942652702E-1,3.350791335E-1
1.258557346E0,3.748641014E0,2.169935942E0,2.022757530E0
1.308557346E0,-1.683862686E0,-1.292624474E-1,-4.846455753E-1
1.358557346E0,1.307711601E0,3.869624138E-1,-3.293422461E0
1.408557346E0,-4.435367584E-1,3.131368399E0,3.067591190E0
1.458557346E0,-1.465954781E0,1.169557571E0,2.110956192E0
1.508557346E0,9.207506180E-1,1.635699034E0,-1.448365211E0
1.558557346E0,-2.332498550E0,2.488668442E0,7.920058966E-1
1.608557346E0,-3.567290306E0,3.125209808E-1,-2.046510458E0
1.658557346E0,4.190707207E0,-2.969934464E0,-1.946309209E-1
1.708557346E0,1.207263947E0,-1.439783573E0,3.749640584E-1
1.758557346E0,9.433746338E-2,-1.218074322E0,1.700775623E-1
1.808557346E0,-1.932659149E-1,1.419118881E0,1.144961864E-1
1.858557346E0,-1.725735664E-1,2.131654739E0,1.257034421E0
1.908557346E0,1.778336048E0,3.320527077E-1,1.386919856E0
1.958557346E0,1.240612984E0,1.498821735E0,7.740681767E-1
2.008557346E0,-2.808327675E-1,-1.384476662E0,7.863135338E-1
2.058557346E0,3.631450653E0,2.307675362E0,6.276313305E0
2.108557346E0,6.482853889E-1,3.039525032E0,6.121960878E-1
2.158557346E0,9.598152161E0,-3.588278770E0,7.304612160E0
2.208557346E0,-1.022877407E1,-9.493679047E0,-4.267232418E0
2.258557346E0,1.643423080E0,-2.033638000E0,-1.826505423E0
2.308557346E0,-3.090068579E0,-2.017717361E0,-1.739593267E0
2.358557346E0,-3.730682850E0,-1.759532928E0,-1.443542480E0
2.408557346E0,-3.476444721E0,1.007449627E0,-2.620168686E0
2.458557346E0,-1.790167809E0,1.255692482E0,-1.548996568E0
2.508557346E0,-3.444457054E-1,1.797885895E0,-3.768200874E-1
2.558557346E0,-2.324924469E0,3.919714928E0,-4.627869129E-1
2.608557346E0,4.023683071E0,1.831275940E0,3.892693758E0
2.658557346E0,6.269881725E0,3.301984787E0,4.407248497E0
2.708557346E0,4.540259838E0,-8.551074982E0,-4.628614902E0
2.758557346E0,-7.900135994E0,-1.560142040E0,6.688129425E0
2.808557346E0,2.413600445E0,-3.349615574E0,-2.327777147E0
2.858557346E0,-2.607969522E0,-2.798239708E0,-8.168916702E0
2.908557346E0,6.186518669E-1,3.706874847E-1,4.149344921E0
2.958557346E0,3.142418861E-1,1.498672485E0,7.861184597E0
3.008557346E0,-3.174207211E0,1.428839684E0,1.028808832E0
3.058557346E0,-1.636202812E0,1.244437218E0,2.108572006E0
3.108557346E0,7.353434563E-1,1.255102158E-1,3.207529783E0
3.158557346E0,3.848920345E0,-7.327470779E-1,4.118112564E0
3.208557346E0,4.142852783E0,-9.980783463E-1,5.520046234E0
3.258557346E0,2.634808302E0,-7.576789856E-1,-1.182160020E0
3.308557346E0,3.560101271E0,-2.749056816E0,-2.985430002E0
3.358557346E0,3.821735382E0,-9.457262039E0,2.132095814E0
3.408557346E0,-2.744611263E0,-5.073240280E0,-4.923754692E0
3.458557346E0,4.690987110E0,-1.915277481E0,-5.911556721E0
3.508557346E0,-7.130912781E0,6.058496475E0,-3.803235054E0
3.558557346E0,-5.286647797E0,1.013852310E1,-1.120268583E0
3.608557346E0,1.344341278E0,7.218127251E0,8.372073174E0
3.658557346E0,-3.443818092E0,4.236572266E0,-4.053401947E-2
3.708557346E0,1.347537518E0,-4.669187546E0,-5.516317368E0
3.758557346E0,5.424461365E-1,-1.818138313E1,-2.509512424E0
3.808557346E0,9.151248932E-1,-7.132012844E0,-1.231791258E0
3.858557346E0,4.806619167E0,-7.391574860E0,-1.096197128E1
3.908557346E0,-1.989260793E0,-2.102882385E0,3.115934372E0
3.958557346E0,-3.082394123E0,6.482684612E0,7.502526283E0
4.008557346E0,-2.123772860E0,1.097555828E1,1.024191380E1
4.058557346E0,-2.382491112E0,8.329652786E0,1.744536877E0
4.108557346E0,1.911492825E0,1.526426315E0,3.546841383E0
4.158557346E0,7.204064369E0,-1.403539753E1,-1.610212803E0
4.208557346E0,8.631424904E-1,-8.990215302E0,2.299259186E0
4.258557346E0,1.685954571E0,-5.763694763E0,-5.912746906E0
4.308557346E0,1.553698540E0,-2.647800446E0,5.719799042E0
4.358557346E0,-3.378074646E0,7.650673866E0,-3.542396545E0
4.408557346E0,-8.708280563E0,6.818321228E0,-1.202414274E0
4.458557346E0,-2.364241600E0,1.128590393E1,-3.922539234E0
4.508557346E0,3.382525921E0,3.366597652E0,-5.120697975E0
4.558557346E0,-8.716851234E0,-4.920475960E0,-5.041779995E0
4.608557346E0,6.213314056E0,-1.095654392E1,1.877074122E0
4.658557346E0,1.561174965E1,2.052165985E1,1.958776712E-1
4.708557346E0,2.900633812E-1,-9.434206963E0,-8.510255814E0
4.758557346E0,-1.096820831E0,-2.977435112E1,2.927605629E0
4.808557346E0,-5.527842999E0,3.066956997E0,1.531497002E1
4.858557346E0,2.592339993E0,5.603306770E0,2.616300106E0
4.908557346E0,-1.511719227E-1,1.503474712E1,-9.129592180E-1
4.958557346E0,1.230963230E0,9.586888313E0,3.017541409E0
5.008557346E0,7.483984947E0,-7.797789574E0,6.125341892E0
5.058557346E0,5.594629288E0,-3.995909119E1,-4.445853233E0
5.108557346E0,-3.563733101E-1,-1.080187511E1,-3.134500265E0
5.158557346E0,-2.250719070E-2,5.921891689E0,-4.198550224E0
5.208557346E0,-2.708968163E0,7.778479576E0,-7.897337914E0
5.258557346E0,-9.131957054E0,1.041018772E1,-8.394120216E0
5.308557346E0,-5.406190872E0,9.027590752E0,-2.728512764E0
5.358557346E0,6.912899017E0,-5.337347984E-1,5.511363983E0
5.408557346E0,-1.191353226E1,-9.324342728E0,-1.343034077E1
5.458557346E0,-4.356075764E0,-1.272341061E1,3.125962734E0
5.508557346E0,1.195464325E1,-1.223643589E1,-5.745981693E0
5.558557346E0,1.840533829E1,-1.207607746E1,-5.657003880E0
5.608557346E0,4.336853027E0,2.152826309E0,-1.528721333E0
5.658557346E0,-7.666946888E0,1.185460472E1,1.199424458E1
5.708557346E0,3.174326181E0,1.082638264E1,7.313027382E0
5.758557346E0,-6.311134338E0,2.821138859E0,4.040136337E0
5.808557346E0,2.377830029E0,-3.720582962E0,1.184725761E-2
5.858557346E0,9.682851791E0,-2.175783539E1,-3.867806911E0
5.908557346E0,2.997451305E0,-1.593103790E1,-2.426309586E-1
5.958557346E0,-1.361684322E0,-1.939277649E-1,-6.084562302E0
6.008557346E0,-5.982710361E0,5.467148304E0,-1.346699810E1
6.058557346E0,-7.524077892E0,1.020269680E1,-7.463466167E0
6.108557346E0,-3.340564728E0,1.184505463E1,-9.441764355E-1
6.158557346E0,1.003415871E1,2.220821381E0,4.448238850E0
6.208557346E0,-3.995952368E0,-1.024764252E1,-6.325336456E0
6.258557346E0,4.025602341E-2,-8.353981018E0,-6.563832283E0
6.308557346E0,3.075190783E0,-6.090420723E0,-7.248426437E0
6.358557346E0,2.554229736E0,-1.630335617E1,1.715900183E0
6.408557346E0,-2.836128235E0,-1.467723846E0,5.910943031E0
6.458557346E0,-6.254759789E0,8.186549187E0,5.816812038E0
6.508557346E0,-4.158717632E0,9.861227989E0,1.110198402E1
6.558557346E0,-5.268057823E0,3.339081287E0,4.499528408E0
6.608557346E0,-4.248641014E0,-5.423253059E0,-2.443037987E0
6.658557346E0,4.407724857E0,-2.156008911E1,-4.619688988E0
6.708557346E0,1.920346737E0,-9.174513817E0,6.602704048E0
