"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.183213900E-2,2.911766052E0,3.669692516E0,7.831708431E0
1.218321390E-1,3.184846878E0,3.980759621E0,8.880363464E0
1.718321390E-1,2.804089069E0,4.148257256E0,6.143871307E0
2.218321390E-1,2.796910524E0,4.296911240E0,6.687341213E0
2.718321390E-1,3.816851139E0,3.075674295E0,6.576972008E0
3.218321390E-1,5.937789440E0,3.885046721E0,6.375975132E0
3.718321390E-1,5.226821899E0,3.310470104E0,7.209275723E0
4.218321390E-1,4.223630905E0,2.446063042E0,7.120441914E0
4.718321390E-1,5.073681355E0,1.213161111E0,8.157132149E0
5.218321390E-1,3.223132133E0,-8.001000881E-1,9.529116631E0
5.718321390E-1,2.401795626E0,-4.994718075E0,4.025026798E0
6.218321390E-1,3.603590965E0,-3.562912941E0,5.356034279E0
6.718321390E-1,7.829315662E0,-7.609176159E0,6.076872349E0
7.218321390E-1,7.867600918E0,-6.584449768E0,7.484450340E0
7.718321390E-1,1.033101177E1,-5.226821899E0,1.002712345E1
8.218321390E-1,1.164556885E1,-4.247858524E0,9.885647774E0
8.718321390E-1,1.021376324E1,-2.883052111E0,9.907182693E0
9.218321390E-1,1.019462109E1,-1.616650820E0,1.102522945E1
9.718321390E-1,7.055835724E0,-2.612663269E0,6.699305058E0
1.021832139E0,6.512365818E0,-3.883850336E0,6.088836193E0
1.071832139E0,6.320940018E0,-4.712066174E0,5.451747417E0
1.121832139E0,9.033503532E0,-2.112264156E0,5.602794170E0
1.171832139E0,9.222537041E0,-3.922135353E0,3.608376503E0
1.221832139E0,5.789434433E0,-4.295714855E0,9.125627279E-1
1.271832139E0,6.521937370E0,-3.536591768E0,3.634697676E0
1.321832139E0,7.941778183E0,-2.988336325E0,5.693721294E0
1.371832139E0,7.965706348E0,-2.526521683E0,5.691328526E0
1.421832139E0,9.665508270E0,-3.934099436E0,7.115656376E0
1.471832139E0,1.028315544E1,-5.353940487E0,3.812065601E0
1.521832139E0,8.391927719E0,-6.560521603E0,3.649054527E0
1.571832139E0,7.561020374E0,-5.346762180E0,4.100699723E-1
1.621832139E0,7.647161961E0,-1.621436477E0,-5.620142221E-1
1.671832139E0,7.992027760E0,-4.688137531E0,3.737588882E0
1.721832139E0,7.558627605E0,-3.603590965E0,2.325225353E0
1.771832139E0,7.479664326E0,-4.752744198E0,1.257428288E0
1.821832139E0,8.396714211E0,-2.538485765E0,4.403391838E0
1.871832139E0,6.507580280E0,-5.190929413E0,-2.108675003E0
1.921832139E0,5.116752148E0,-8.806185722E0,-1.112662554E0
1.971832139E0,6.014658928E0,-5.475974560E0,3.882354796E-1
2.021832139E0,1.961217284E0,-6.460022926E0,-2.441576481E0
2.071832139E0,1.054666519E1,-1.323051453E1,7.340880871E0
2.121832139E0,5.308177948E0,-1.836820412E1,2.279761791E0
2.171832139E0,4.755136967E0,-1.126002502E1,2.796910524E0
2.221832139E0,9.605687141E0,-1.523420429E1,-7.454838753E0
2.271832139E0,8.082955360E0,-1.534906006E1,-3.492324591E0
2.321832139E0,2.643769979E0,-1.230389404E1,3.684946775E0
2.371832139E0,5.324030295E-2,-6.067300797E0,-5.108377457E0
2.421832139E0,1.896611094E0,-2.425724030E0,-2.201995134E0
2.471832139E0,3.088835001E0,-4.420141697E0,-1.668096542E0
2.521832139E0,3.499503136E-1,-4.992325306E0,1.628614902E0
2.571832139E0,-3.490529954E-1,-5.361119270E0,4.893920422E0
2.621832139E0,6.210870266E0,-1.457587910E1,1.106830025E1
2.671832139E0,5.145465851E0,-8.181359291E0,1.195663548E1
2.721832139E0,3.124727249E0,-1.552642822E1,-1.719392586E1
2.771832139E0,-2.484647274E0,-8.059026718E0,-7.465606928E-1
2.821832139E0,-3.873381615E-1,-1.885663795E1,-1.512562990E0
2.871832139E0,1.018505001E1,-1.023529911E1,-8.315058798E-2
2.921832139E0,1.448854089E0,-8.351249695E0,3.780958891E0
2.971832139E0,-1.182054400E0,-5.023432255E0,4.934897423E0
3.021832139E0,2.499901533E0,-6.869195461E0,3.869493246E0
3.071832139E0,3.998705626E0,-7.989634991E0,-7.322037220E-1
3.121832139E0,5.073681355E0,-6.838088989E0,-2.767000198E0
3.171832139E0,1.872682810E0,-1.167188931E1,1.417747378E0
3.221832139E0,7.587341309E0,-1.312493134E1,1.381675625E1
3.271832139E0,3.294916868E0,-1.302443314E1,6.557829380E0
3.321832139E0,5.188536644E0,-1.131505966E1,-5.685346603E0
3.371832139E0,4.269094467E0,-1.330708504E1,2.213360928E-2
3.421832139E0,5.846862316E0,-2.020439529E1,6.850052834E0
3.471832139E0,5.435296535E0,-1.451127338E1,-2.365903407E-1
3.521832139E0,5.401497841E0,-9.227322578E0,-3.346960545E-1
3.571832139E0,-3.257827997E0,-1.473081470E0,-2.022533417E0
3.621832139E0,-1.158126116E0,1.936092615E0,-1.028913736E0
3.671832139E0,9.344570160E0,-2.452643216E-2,1.754926109E1
3.721832139E0,1.073180914E0,-4.503890514E0,2.899801970E0
3.771832139E0,-5.021936297E-1,-1.063759232E1,-1.183340549E1
3.821832139E0,5.454439163E0,-3.398017502E1,-2.640180588E0
3.871832139E0,1.084337521E1,-2.161227417E1,-5.216353416E0
3.921832139E0,7.264310360E0,-1.824377632E1,8.875576973E0
3.971832139E0,-7.806583881E0,-9.371191025E0,6.299404621E0
4.021832139E0,-1.615155302E-2,1.359123230E0,1.179631615E1
4.071832139E0,4.877470016E0,-4.348356724E0,-1.957927108E0
4.121832139E0,3.247060299E0,2.111067772E0,-3.212364435E0
4.171832139E0,5.803791523E0,-2.655734062E0,7.510771275E0
4.221832139E0,1.567478275E1,-2.573241425E1,2.444866419E0
4.271832139E0,5.990730762E0,-5.528287888E1,8.631210327E0
4.321832139E0,6.184549332E0,-1.156899834E1,-1.275673628E0
4.371832139E0,5.799005508E0,3.324826956E0,-3.444468260E0
4.421832139E0,-2.175673962E0,-1.250249863E0,-6.006283760E0
4.471832139E0,-2.855534792E0,2.738286495E0,-6.803392887E0
4.521832139E0,-6.744768620E-1,2.357528448E0,-3.243471146E0
4.571832139E0,3.547359705E-1,-1.792762566E1,3.541886139E1
4.621832139E0,-1.012163997E0,-1.228714466E0,-9.410672188E0
4.671832139E0,-2.343171597E0,-2.712324333E1,-1.233858967E1
4.721832139E0,1.757558060E1,-3.600061417E1,-6.385845542E-1
4.771832139E0,3.511945724E1,-1.826531219E1,4.738685989E1
4.821832139E0,5.011467934E0,-1.013958549E1,4.609174728E0
4.871832139E0,-6.964011192E0,-1.245464206E0,9.308678627E0
4.921832139E0,5.042574406E0,-2.420938253E0,-9.427721500E-1
4.971832139E0,3.141477108E0,3.315255880E0,-3.494717360E0
5.021832139E0,6.146264076E0,1.794616925E-3,5.722435474E0
5.071832139E0,1.121216869E1,-1.453759384E1,4.531407952E-1
5.121832139E0,1.269631672E1,-5.455007553E1,6.055336952E0
5.171832139E0,3.076870918E0,-1.571067524E1,1.559223056E0
5.221832139E0,1.642971873E0,-1.322034448E-1,-3.231507063E0
5.271832139E0,1.221535921E0,9.379864931E-1,-3.415754318E0
5.321832139E0,-1.124626637E0,-1.951645970E0,-3.226721287E0
5.371832139E0,2.813660383E0,-3.334996700E-1,-1.605883121E0
5.421832139E0,1.642971873E0,-1.064716339E1,-4.107878208E0
5.471832139E0,-2.982354403E0,-1.579442406E1,-7.232007504E0
5.521832139E0,-1.780559182E0,-2.211237335E1,-4.718347073E0
5.571832139E0,1.729562187E1,-2.454019165E1,6.483652115E0
5.621832139E0,6.347260952E0,-1.377398491E1,6.302096844E-1
5.671832139E0,-1.680060625E0,-7.254739285E0,6.222834587E0
5.721832139E0,2.523829699E0,2.350350142E0,1.195214868E0
5.771832139E0,1.027358437E1,7.464111328E0,2.732304335E0
5.821832139E0,-2.118246317E0,1.103091240E0,1.257428288E0
5.871832139E0,-1.118644550E-1,-5.090431213E0,4.506283283E0
5.921832139E0,-1.397707582E0,-6.262794495E1,-6.257530212E0
5.971832139E0,5.693721294E0,-1.860987854E1,1.331605792E0
6.021832139E0,4.954040051E0,-3.814458370E0,-8.853443861E-1
6.071832139E0,2.781656384E-1,-1.144965649E0,-1.517348647E0
6.121832139E0,-1.251446247E0,2.027917206E-1,-1.026520967E0
6.171832139E0,8.120641708E-1,3.798905134E0,-5.845964909E0
6.221832139E0,3.014657497E0,-4.245465755E0,1.350808239E1
6.271832139E0,-5.335994720E0,-5.796612740E0,-5.900999546E0
6.321832139E0,2.685943544E-1,-2.448036957E1,-1.147926712E1
6.371832139E0,1.417837143E1,-3.211497116E1,-1.507777333E0
6.421832139E0,2.599083900E1,-2.375235367E1,2.317538452E1
6.471832139E0,5.533402443E0,-6.732804775E0,3.570091486E0
6.521832139E0,-4.948058128E0,-1.762612939E0,5.210072041E0
6.571832139E0,2.251047850E0,1.333998591E-1,-3.873381615E-1
6.621832139E0,2.854338408E0,4.763511658E0,-6.529414654E-1
6.671832139E0,3.837489188E-1,-1.274178028E-1,2.172084808E0
6.721832139E0,1.036211872E1,-1.485583973E1,8.027919769E0
6.771832139E0,1.179631615E1,-5.646074295E1,-3.918546200E0
6.821832139E0,7.147062302E0,-1.601486206E1,2.140978098E0
6.871832139E0,2.174477577E0,-3.663710594E0,-1.522134304E0
6.921832139E0,-2.685644388E0,-2.418545485E0,-2.144567251E0
6.971832139E0,-1.378564954E0,1.665703654E0,-2.568396091E0
7.021832139E0,4.220340848E-1,5.263910770E0,-3.727120399E0
7.071832139E0,1.951645970E0,-4.558925152E0,-8.735597610E0
7.121832139E0,-2.905783892E0,-2.126621008E0,-4.976771832E0
7.171832139E0,-1.479063511E0,-3.229233932E1,-8.318946838E0
7.221832139E0,1.415683651E1,-3.121257591E1,-3.030509949E0
7.271832139E0,2.560768890E1,-2.226581383E1,6.437052155E1
7.321832139E0,1.467996716E0,-8.842078209E0,1.633400559E0
7.371832139E0,-2.618645191E0,3.415754318E0,1.113799095E1
7.421832139E0,3.800101519E0,-5.632106066E-1,-4.495515525E-1
7.471832139E0,2.557329178E0,4.366302967E0,2.459223509E0
7.521832139E0,4.467998028E0,-3.333201885E0,4.621138573E0
7.571832139E0,1.385294724E1,-2.084357834E1,7.544270515E0
7.621832139E0,9.208179474E0,-5.743252945E1,5.367998600E0
7.671832139E0,4.676173687E0,-1.443709564E1,-1.076770186E0
7.721832139E0,2.494517565E-1,-2.504687071E0,-2.403291225E0
7.771832139E0,-2.633002281E0,-1.195214868E0,-2.910569668E0
7.821832139E0,-1.794916034E0,2.333600283E0,-2.496611357E0
7.871832139E0,2.614158690E-1,4.993521690E0,-4.404588223E0
7.921832139E0,5.011467934E0,-7.673782349E0,2.782553673E0
7.971832139E0,-3.131008387E0,-2.394617319E0,-3.755834341E0
8.021832139E0,8.673982322E-2,-3.584268951E1,-1.481426430E1
8.071832139E0,1.727408600E1,-3.603889847E1,-1.210409355E1
8.121832139E0,2.171755791E1,-1.346740437E1,3.908646011E1
8.171832139E0,-8.422735929E-1,-6.548557281E0,3.242274761E0
8.221832139E0,-2.790928602E0,6.226423740E0,1.477448368E1
8.271832139E0,4.891826630E0,-1.958824396E0,-1.118644550E-1
8.321832139E0,3.091227770E0,4.004687786E0,3.790530205E0
8.371832139E0,3.515056372E0,3.490529954E-1,2.823231697E0
8.421832139E0,1.527966785E1,-1.862423515E1,4.276273251E0
8.471832139E0,1.337647724E1,-5.937908936E1,2.135594189E-1
8.521832139E0,3.991527319E0,-1.550249958E1,-1.646561027E0
8.571832139E0,2.737090111E0,6.720840335E-1,-5.787639618E-1
8.621832139E0,-2.767000198E0,-5.799604058E-1,-5.367101192E0
8.671832139E0,-1.610668778E0,3.128615618E0,-3.186043262E0
8.721832139E0,-1.079162955E0,4.818845749E0,-3.605086327E0
8.771832139E0,5.468796253E0,-1.576331711E1,6.656234264E0
8.821832139E0,-4.730311394E0,-5.782256126E0,-4.277768612E0
