Time window,Time (s)_acc,Time (s)_gyro,Time (s)_mag,Time (s)_lin_acc,Time (s)_prox,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Distance (cm)
0.03,,0.053242295,,,,,,,0.2015796006,-0.36498123409999994,-0.7146912812999999,,,,,,,
0.06,0.071832139,,,,,2.911766052,3.6696925160000005,7.831708431,,,,,,,,,,
0.09,,0.10501088900000001,,0.113742139,,,,,0.11422843490000001,-0.5624375939,-0.4417952895,,,,0.12674450869999998,0.2373166084,0.7481980323999999,
0.12,0.121832139,,0.122978806,,,3.184846878,3.9807596210000002,8.880363464,,,,1.32980001,-45.26199722,-28.84079933,,,,
0.15,0.171832139,0.155811045,0.172978806,0.163742139,,2.8040890689999998,4.148257256,6.143871307,0.1230857223,-0.4611896873,-0.2559449971,1.439599991,-45.40839767,-28.63339996,-0.204501152,0.1560893059,-1.265532017,
0.18,,0.206612087,,,,,,,0.04459185153,-1.489703774,-0.1821851879,,,,,,,
0.21,0.22183213899999998,,0.222978806,0.213742139,,2.796910524,4.29691124,6.687341213,,,,1.15899992,-45.51819992,-28.32839966,-0.63595891,-0.06874227524,-0.6672606468,
0.24,,0.257413858,,0.263742139,,,,,-0.061542861160000004,-2.340308666,-0.16309621929999998,,,,-0.5407147407999999,-0.617036581,-0.09239912033,
0.27,0.271832139,,0.272978806,,,3.8168511389999997,3.075674295,6.576972007999999,,,,0.5367999673,-45.57920074,-27.92580032,,,,
0.3,0.32183213899999996,0.308214847,0.322978806,0.313742139,,5.93778944,3.885046721,6.375975132000001,-0.4046863019,-1.595533013,0.054823540149999996,-0.3659999967,-45.4937973,-27.48659897,1.4481582640000001,0.256664753,0.08040523529,
0.32999999999999996,,0.35901500399999997,,,,,,,-1.418692708,-0.7925743461,0.1072036922,,,,,,,
0.36,0.371832139,,0.372978806,0.36374213899999996,,5.226821899,3.3104701039999997,7.209275722999999,,,,-1.2078000309999999,-45.23759842,-27.44999886,0.3779368401,0.2885735035,0.08738040924000001,
0.39,,0.409815624,,0.413742139,,,,,-2.158428907,0.6879667044,-0.10201149429999999,,,,-1.073194265,-0.680685997,-0.2459344864,
0.42,0.421832139,,0.422978385,,0.428258385,4.223630905,2.446063042,7.120441914,,,,-1.6591999530000001,-44.63980103,-27.97459984,,,,5.0
0.44999999999999996,0.471832139,0.460617395,0.472978385,0.463742139,,5.073681355,1.213161111,8.157132149,-3.105700254,-1.193748236,-0.7330167294,-1.915399909,-43.73699951,-28.87739944,0.6805000305,-0.2929230928,0.7717666626,
0.51,0.521832139,0.511418385,0.522978385,0.513742139,,3.223132133,-0.8001000881,9.529116631,-1.907828689,-0.8031114340000001,-0.169204697,-2.696199894,-42.11439896,-30.24379921,-2.622232437,-2.7769179339999996,0.863697052,
0.54,,0.562218541,,0.563742139,,,,,-1.3334795240000001,0.01221694518,0.8773293495000001,,,,-2.843146801,-4.557638645,-2.112608433,
0.57,0.571832139,,0.572978385,,,2.4017956259999997,-4.994718075,4.025026798,,,,-3.635599852,-40.08919907,-31.84199905,,,,
0.6,0.621832139,0.613019635,0.622978385,0.613742139,,3.603590965,-3.5629129410000004,5.356034279,-2.86059761,-0.005192201585,1.25758183,-4.562799931,-37.45399857,-33.79399872,-0.03750991821000001,-3.574329376,-1.469793797,
0.6599999999999999,0.671832139,0.663821405,0.672978385,0.663742139,,7.829315662000001,-7.6091761589999996,6.076872348999999,-2.855100155,-0.6397097707,1.68578577,-5.551000117999999,-33.72079849,-36.19739914,1.095450401,-3.8762876989999997,-1.608175278,
0.69,,0.714622447,,0.713742139,,,,,-2.697196007,0.7774558663,0.596339643,,,,3.661390305,-2.286271095,2.1081104280000003,
0.72,0.7218321390000001,,0.722978385,,,7.867600918,-6.584449768,7.48445034,,,,-6.319600105,-29.12139893,-38.95459747,,,,
0.75,0.771832139,0.765422603,0.772978385,0.7637421390000001,,10.33101177,-5.226821899,10.02712345,-2.237380743,-0.345128715,1.057834744,-6.844199657000001,-23.89979935,-41.61420059,4.4979543689999995,-0.9741201401,3.00164175,
0.8099999999999999,0.8218321390000001,0.8162236970000001,0.822978385,0.813742139,,11.64556885,-4.247858524,9.885647774,-1.425564766,-0.9741486906999999,0.8156337737999999,-7.746999741000001,-18.28779984,-43.68819809,6.416357994,1.682215691,4.831235409,
0.84,,0.86702552,,0.8637421390000001,,,,,-0.8541171551000001,-1.105022669,0.1220167428,,,,4.592266083,3.1208817960000004,5.1409316060000005,
0.87,0.871832139,,0.872978385,,,10.21376324,-2.883052111,9.907182693,,,,-8.991399765,-12.73680019,-45.07899857,,,,
0.8999999999999999,0.921832139,0.917826562,0.922978385,0.913742139,,10.19462109,-1.61665082,11.02522945,0.2032594234,-1.752215385,-0.053449135269999996,-10.51639938,-7.722599982999999,-45.62799835,4.114554882,4.4466533660000005,6.1901788710000005,
0.96,0.9718321390000001,0.96862677,0.972978385,0.963742139,,7.055835724,-2.612663269,6.699305057999999,0.1522536725,-1.209935665,-0.6166502832999999,-12.29759979,-3.12319994,-45.72559738,0.7216062545999999,2.67345047,2.148721218,
0.99,,1.019427812,,1.013742139,,,,,0.0838387832,-0.7354601026,-0.9555178284999999,,,,-0.6325602531,1.42399025,1.630764961,
1.02,1.021832139,,1.022978385,,,6.512365817999999,-3.883850336,6.088836193,,,,-14.24959946,0.7197999954000001,-45.34740067,,,,
1.05,1.071832139,1.070229687,1.072978385,1.0637421390000001,,6.320940018,-4.712066173999999,5.451747417000001,0.054059982300000003,-0.6452074051,-1.128845692,-16.05520058,3.23300004,-44.46899796,-1.251085281,0.2801604271,1.999685287,
1.1099999999999999,1.1218321390000001,1.121030728,1.122978385,1.113742139,,9.033503532000001,-2.1122641559999997,5.60279417,0.1424801201,-0.7275190949,-0.9518527389,-17.94619942,4.6237998010000005,-43.24900055,-0.07732391357000001,1.079572201,1.9351673130000002,
1.14,,,,1.163742139,,,,,,,,,,,0.31594944,-0.5396358967,-1.228940487,
1.17,1.1718321390000002,1.171830937,1.172978385,,,9.222537041,-3.9221353530000003,3.608376503,-0.4521796703,0.1702736765,-0.8892409204999999,-19.98359871,5.0995998380000005,-41.79719925,,,,
1.2,1.221832139,1.22263203,1.222978385,1.213742139,1.227142135,5.789434432999999,-4.295714855,0.9125627279,-1.085933685,0.7870767117,-1.093721986,-21.69159889,4.697000027,-40.55279922,-1.264910698,-0.6077392101,-1.347292185,0.0
