"Time (s)","Distance (cm)"
4.095703120E-1,5.000000000E0
1.154562447E0,0.000000000E0
1.609351755E1,5.000000000E0
1.898876723E1,0.000000000E0
1.935962588E1,5.000000000E0
2.107634327E1,0.000000000E0
2.147068452E1,5.000000000E0
2.180930864E1,0.000000000E0
2.356942984E1,5.000000000E0
2.379321119E1,0.000000000E0
2.455196260E1,5.000000000E0
2.479343114E1,0.000000000E0
2.563444145E1,5.000000000E0
2.577670218E1,0.000000000E0
2.662699067E1,5.000000000E0
2.682642572E1,0.000000000E0
2.767623015E1,5.000000000E0
2.795115567E1,0.000000000E0
3.069331692E1,5.000000000E0
3.095954228E1,0.000000000E0
3.172659629E1,5.000000000E0
3.200968566E1,0.000000000E0
3.273423238E1,5.000000000E0
3.296853665E1,0.000000000E0
3.374343816E1,5.000000000E0
3.404461801E1,0.000000000E0
3.477712744E1,5.000000000E0
3.506084051E1,0.000000000E0
3.553435061E1,5.000000000E0
3.846873473E1,0.000000000E0
3.871859045E1,5.000000000E0
3.941837566E1,0.000000000E0
3.971838280E1,5.000000000E0
4.338740941E1,0.000000000E0
4.577701436E1,5.000000000E0
4.842633665E1,0.000000000E0
4.902634998E1,5.000000000E0
4.936846326E1,0.000000000E0
4.993420566E1,5.000000000E0
5.039395889E1,0.000000000E0
5.099682165E1,5.000000000E0
5.140126118E1,0.000000000E0
5.157647941E1,5.000000000E0
5.961060133E1,0.000000000E0
5.998457982E1,5.000000000E0
6.066938857E1,0.000000000E0
6.082747112E1,5.000000000E0
6.161864367E1,0.000000000E0
6.208447133E1,5.000000000E0
6.599332050E1,0.000000000E0
6.621913143E1,5.000000000E0
6.789357550E1,0.000000000E0
6.798250862E1,5.000000000E0
7.012683128E1,0.000000000E0
7.033464190E1,5.000000000E0
7.213514268E1,0.000000000E0
7.244343778E1,5.000000000E0
7.298442779E1,0.000000000E0
7.363549180E1,5.000000000E0
7.387634872E1,0.000000000E0
7.462641523E1,5.000000000E0
7.496868893E1,0.000000000E0
7.566876169E1,5.000000000E0
7.601848247E1,0.000000000E0
7.652661898E1,5.000000000E0
1.065456597E2,0.000000000E0
1.067671340E2,5.000000000E0
1.276017314E2,0.000000000E0
1.277694435E2,5.000000000E0
1.522945034E2,0.000000000E0
1.525434816E2,5.000000000E0
1.530514204E2,0.000000000E0
1.535515500E2,5.000000000E0
1.552274463E2,0.000000000E0
1.555182109E2,5.000000000E0
1.602518224E2,0.000000000E0
1.604014485E2,5.000000000E0
