"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.487401800E-2,2.160120726E0,5.149055004E0,1.158066368E1
1.248740180E-1,1.824826360E0,3.947260141E0,1.079073238E1
1.748740180E-1,6.589235067E-1,2.549253464E0,8.161917686E0
2.248740180E-1,1.688435435E0,3.849154234E0,8.375178337E0
2.748740180E-1,1.681257010E0,1.234696507E0,1.019701385E1
3.248740180E-1,1.968096644E-1,1.275374413E0,8.714959145E0
3.748740180E-1,1.300499082E0,2.759821892E0,7.194918633E0
4.248740180E-1,2.526222467E0,3.908974886E0,7.015157700E0
4.748740180E-1,2.408974171E0,3.925724745E0,7.884350777E0
5.248740180E-1,1.817647934E0,4.105186462E0,9.342177391E0
5.748740180E-1,1.420140266E0,4.272983074E0,8.499605179E0
6.248740180E-1,4.587639332E0,5.429314613E0,1.039801121E1
6.748740180E-1,4.812564373E0,4.497908592E0,9.260822296E0
7.248740180E-1,7.398308277E0,4.718048096E0,1.055384350E1
7.748740180E-1,6.890730858E0,1.584347725E0,7.936992645E0
8.248740180E-1,3.919742584E0,2.869891644E0,6.146264076E0
8.748740180E-1,3.282952785E0,2.027318954E0,5.564508915E0
9.248740180E-1,3.637090445E0,5.682953820E-2,3.550948858E0
9.748740180E-1,4.791028976E0,-2.131406784E0,2.073679924E0
1.024874018E0,7.161418915E0,-4.087240219E0,1.595115423E0
1.074874018E0,1.046261692E1,-8.288139701E-1,6.143871307E0
1.124874018E0,1.262692547E1,1.469492197E0,7.946564198E0
1.174874018E0,1.387926865E1,1.495813251E0,7.211668491E0
1.224874018E0,1.512892056E1,-7.953144312E-1,6.380760670E0
1.274874018E0,1.431954765E1,-1.180858016E0,1.776670814E-1
1.324874018E0,1.149212933E1,-2.538485765E0,1.058823988E-1
1.374874018E0,6.689733982E0,-3.900599957E0,1.855933070E0
1.424874018E0,1.246421337E1,-2.799303293E0,2.605185747E0
1.474874018E0,7.374380112E0,-3.790530205E0,1.106680512E0
1.524874018E0,6.493223190E0,-3.838386536E0,4.435695112E-1
1.574874018E0,5.164608479E0,-2.603091955E0,3.529413462E0
1.624874018E0,4.989932537E0,-3.309273720E0,4.089632988E0
1.674874018E0,7.872386456E0,-4.930111885E0,4.649852753E0
1.724874018E0,1.438654709E1,-6.531807423E0,6.258726597E0
1.774874018E0,8.513961792E0,-6.646663189E0,5.973681927E0
1.824874018E0,1.235892868E1,-7.458128929E0,8.742775917E-1
1.874874018E0,8.090133667E0,-7.965706348E0,1.278963685E0
1.924874018E0,5.892325878E0,-7.522735119E0,-6.266204119E-1
1.974874018E0,9.287142754E0,-5.557330608E0,1.283749342E0
2.024874018E0,4.446462631E0,-5.825326920E0,5.847460628E-1
2.074874018E0,5.011467934E0,-4.331607342E0,1.324427366E0
2.124874018E0,4.666602135E0,-6.017051697E0,1.403390527E0
2.174874018E0,2.566900492E0,-6.828517437E0,-2.213959217E0
2.224874018E0,4.731208801E0,-7.211668491E0,-6.242275834E-1
2.274874018E0,5.066503048E0,-1.220100307E1,2.614158690E-1
2.324874018E0,6.845267296E0,-1.393430328E1,1.784148335E0
2.374874018E0,7.810173035E0,-1.403719521E1,-2.102692872E-1
2.424874018E0,2.763411045E0,-8.997611046E0,2.674876690E0
2.474874018E0,-6.577271223E-1,-6.964908600E0,-1.354636669E0
2.524874018E0,8.335995674E-1,-9.390333176E0,5.499902725E0
2.574874018E0,-3.200400352E0,-3.889742661E1,3.107977629E0
2.624874018E0,-2.975175858E0,-1.111466169E0,-8.422735929E-1
2.674874018E0,3.105584621E0,-1.978266120E0,5.536393523E-1
2.724874018E0,-1.215553880E0,-3.165704250E0,-6.161518395E-2
2.774874018E0,5.584250093E-1,-4.829613209E0,3.804887056E0
2.824874018E0,-5.694917679E0,-1.986192322E1,2.058006859E1
2.874874018E0,-1.816451430E0,-4.127918243E0,3.699303865E0
2.924874018E0,-4.399802685E0,-1.581117344E1,1.482353687E0
2.974874018E0,-2.575574398E0,-7.762316704E0,-4.086342812E0
3.024874018E0,2.504687071E0,-1.052991486E1,-6.375077724E0
3.074874018E0,4.004986882E-1,-9.801898956E0,4.209274292E0
3.124874018E0,-1.272981644E0,-7.836493969E0,5.368895531E-1
