"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.110813610E-1,-1.000961065E-1,-5.310440063E-1,-7.711915970E-1
1.610813610E-1,-6.169233322E-1,-1.653433800E0,-1.279860497E0
2.110813610E-1,-7.496855259E-1,2.316486835E-1,-2.221714020E0
2.610813610E-1,1.718685627E-1,-3.392025471E0,1.114605904E0
3.110813610E-1,-1.489258528E0,-2.224462032E0,-3.486680984E-1
3.610813610E-1,-1.010643363E0,3.597490788E-1,-2.151995659E0
4.110813610E-1,5.450856686E-1,7.368505001E-1,-1.619633675E0
4.610813610E-1,3.318632841E-1,9.988725185E-1,-1.650074005E0
5.110813610E-1,3.361546993E-1,1.046221256E0,8.157196045E-1
5.610813610E-1,-8.060681820E-1,8.836550713E-1,-1.455888748E-1
6.110813610E-1,7.973508835E-1,1.479651451E0,1.421490669E0
6.610813610E-1,1.397843361E0,1.447230816E0,6.536340714E-1
7.110813610E-1,2.532545567E0,2.180731297E-1,2.781502724E0
7.610813610E-1,1.865306377E0,-1.042803764E0,-4.840278625E-2
8.110813610E-1,-1.874585152E-1,-1.812605381E0,-1.575819492E0
8.610813610E-1,-2.927813530E-1,-2.004135132E0,-2.163520336E0
9.110813610E-1,-1.159850836E0,-3.724890232E0,-3.198724747E0
9.610813610E-1,-1.406678200E0,-4.453898907E0,-3.203261137E0
1.011081361E0,-7.483673096E-2,-6.402964592E0,-3.948719025E0
1.061081361E0,2.534436226E0,-2.671606302E0,6.444554329E-1
1.111081361E0,4.195700645E0,1.538492203E0,5.505934238E0
1.161081361E0,2.992499352E0,3.765809059E0,5.098472595E0
1.211081361E0,5.740565300E0,2.734627247E0,6.167003632E0
1.261081361E0,5.433205605E0,2.354269981E0,1.239415169E0
1.311081361E0,4.394396782E0,2.058375359E0,-8.932031393E-1
1.361081361E0,-1.827517033E0,5.846138000E-1,1.552130461E0
1.411081361E0,1.940673828E0,1.718687534E0,2.764236927E0
1.461081361E0,1.418530464E0,1.409541130E0,-3.363730907E-1
1.511081361E0,-3.522233009E0,4.745054245E-1,-2.466125965E0
1.561081361E0,-3.222674370E0,2.391579390E0,2.231390476E-1
1.611081361E0,-3.575709343E0,2.356941223E0,1.897070169E0
1.661081361E0,-7.466211319E-1,1.127002716E0,1.920409441E0
1.711081361E0,7.151963234E0,-3.286852837E-1,2.450491667E0
1.761081361E0,-1.834330559E-1,-1.012817383E0,5.239194393E0
1.811081361E0,-4.101756096E0,-2.695115089E0,-6.103510857E0
1.861081361E0,5.150856972E-1,-8.696727753E-1,-1.545648575E-1
1.911081361E0,-2.049676418E0,-2.275418282E0,-4.190230370E0
1.961081361E0,7.265005112E-1,2.849884987E0,-5.324064255E0
2.011081361E0,-1.740437508E0,1.549924374E0,-1.332692742E0
2.061081361E0,-1.192073822E0,3.840477943E0,1.290486336E0
2.111081361E0,-1.082329750E-1,1.813835144E0,4.055570364E-1
2.161081361E0,-6.933908463E-1,4.701287270E0,-2.714241743E-1
2.211081361E0,5.490033627E-1,1.014069557E0,1.237963676E0
2.261081361E0,1.604958057E0,-1.985423088E0,9.581509233E-1
2.311081361E0,3.961630821E0,-4.223601341E0,4.568227291E0
2.361081361E0,5.398039341E0,-6.669796944E0,3.647674084E0
2.411081361E0,2.117060184E0,5.275726318E-3,4.672003746E0
2.461081361E0,-2.755015850E0,2.258268356E0,-2.651720047E0
2.511081361E0,-1.694499850E0,9.285392761E-1,5.536609173E0
2.561081361E0,1.160143614E-1,-6.957997322E0,1.145944595E-1
2.611081361E0,6.860306263E-1,1.236136246E1,-4.364710331E0
2.661081361E0,3.022943020E0,5.018751621E0,-8.129344940E0
2.711081361E0,1.982719421E0,5.074990273E0,-3.420311928E0
2.761081361E0,1.681619287E0,4.523111343E0,-1.950738907E0
2.811081361E0,-1.303261280E0,-3.213498116E0,1.303202057E1
2.861081361E0,-1.616150737E0,-3.496244431E0,6.315131187E-1
2.911081361E0,-2.840191364E0,-6.684138298E0,-1.764438391E0
2.961081361E0,-3.076119184E0,2.040863037E-2,-8.317421913E0
3.011081361E0,4.276563644E0,-3.737678528E-1,-1.034315586E1
3.061081361E0,2.845859051E0,-1.456592560E0,-1.164491177E-1
3.111081361E0,-9.742068648E-1,-3.321228027E-1,-1.509893417E0
3.161081361E0,-8.684939146E-2,3.186913013E0,1.826667786E0
3.211081361E0,5.331334472E-1,2.307009697E0,9.727173448E-1
3.261081361E0,5.192514658E-1,1.089372635E0,4.938346744E-1
3.311081361E0,-6.370300055E-2,1.104011536E0,-7.413935661E-2
3.361081361E0,2.266176939E0,-1.694828987E0,5.716679096E0
3.411081361E0,6.162732601E0,-3.771080971E0,4.011124611E0
3.461081361E0,4.234534740E0,-7.266811371E0,8.973693848E0
3.511081361E0,-4.107530713E-1,-6.259539604E0,9.984000325E-1
3.561081361E0,-2.949429035E0,-7.118371964E0,-4.450329304E0
3.611081361E0,2.355717421E0,-4.162386894E0,-1.686095715E0
3.661081361E0,-2.032279730E0,1.885931969E0,-6.915647507E0
3.711081361E0,-8.144724369E-2,5.285177708E0,-5.858150482E0
3.761081361E0,-4.508292675E-1,5.284525394E0,-5.169288635E0
3.811081361E0,-2.329167843E0,6.423655510E0,-5.785493851E0
3.861081361E0,-7.517828941E-1,1.962486267E0,1.895790100E-1
3.911081361E0,4.375612736E0,-1.033183861E1,1.153734779E1
3.961081361E0,-1.121293306E0,1.836913109E0,2.111711264E0
4.011081361E0,1.816813588E0,-8.084527016E0,3.431820154E0
4.061081361E0,-4.245429993E0,1.997373581E0,-8.140657425E0
4.111081361E0,1.055078983E0,1.187152863E-1,-1.145986557E1
4.161081361E0,-2.602216721E0,2.447643280E-1,-3.039693832E-1
4.211081361E0,-6.006436348E-1,1.284079552E0,-1.062957644E0
4.261081361E0,1.583879709E0,1.339754105E0,5.505561233E-1
4.311081361E0,-1.338831186E0,-1.285645485E0,3.217608929E0
4.361081361E0,9.176096916E-1,5.038709641E-1,9.057259560E-1
4.411081361E0,1.556004286E0,2.678399563E0,-1.727371693E0
4.461081361E0,2.321320057E0,-2.022629738E0,5.075407028E0
4.511081361E0,6.365349293E0,-2.991365433E0,7.411619186E0
4.561081361E0,6.582699418E-1,-4.793597221E0,8.433753967E0
4.611081361E0,3.535646915E0,-5.531908989E0,3.755942822E0
4.661081361E0,-5.988956094E-1,-8.425544739E0,-8.713717461E0
4.711081361E0,-2.242213249E0,-5.127828598E0,-1.785661817E0
4.761081361E0,-2.040127039E0,1.448419571E0,-4.100480080E0
4.811081361E0,2.417246342E0,6.197320938E0,-5.010832310E0
4.861081361E0,3.925071716E0,6.951079369E0,-5.824150562E0
4.911081361E0,8.985712528E-1,6.887145042E0,-6.824987411E0
4.961081361E0,5.254468918E-1,3.870655060E0,1.266121864E0
5.011081361E0,-2.911813498E0,-1.944612503E1,6.978352070E0
5.061081361E0,-2.793355227E0,4.863934994E0,-1.059182644E0
5.111081361E0,-3.331373215E0,-5.004064560E0,-6.355852127E0
5.161081361E0,-3.397860765E0,-2.513237000E-1,-8.623580933E0
5.211081361E0,5.688062668E0,-1.477737427E-1,-1.179305267E1
5.261081361E0,4.988771915E0,-4.279869080E0,8.220958710E-2
5.311081361E0,2.736928940E0,3.118620396E0,6.809867024E-1
5.361081361E0,-2.723465443E0,2.323019505E0,2.708181143E0
5.411081361E0,-2.795293331E0,7.162818909E-1,2.665797710E0
5.461081361E0,-2.273041010E-2,1.813203812E0,-2.742034435E0
5.511081361E0,3.749765873E0,-2.465061188E0,6.311796188E0
5.561081361E0,6.832354069E0,-1.665280342E0,6.268887043E0
5.611081361E0,3.899176598E0,-5.011470795E0,6.210634232E0
5.661081361E0,8.246238828E-1,-6.360723495E0,5.827507019E0
5.711081361E0,-1.367888689E0,-6.373947144E0,-8.025212288E0
5.761081361E0,-4.005947113E0,-7.125440598E0,2.969007492E-1
5.811081361E0,6.775507927E-1,-5.510816574E-1,-5.806559563E0
5.861081361E0,-2.784489393E-1,3.687294006E0,-5.619069099E0
5.911081361E0,3.948037624E0,5.280458450E0,-6.606086254E0
5.961081361E0,5.172920227E-1,7.013813496E0,-6.608188152E0
6.011081361E0,3.295108080E-1,5.869617462E0,-5.027552605E0
6.061081361E0,-7.426361084E0,-8.353354454E0,1.003450584E1
6.111081361E0,3.316527843E0,-4.152922630E0,4.220783234E0
6.161081361E0,-6.647051811E0,-4.330849648E0,2.861608982E0
6.211081361E0,-2.219922543E0,6.830403328E0,-1.784768867E1
6.261081361E0,6.971111774E0,-2.031357765E0,-8.379720688E0
6.311081361E0,3.465741158E0,-4.341942787E0,3.018015862E0
6.361081361E0,1.251380682E0,1.158967018E0,-8.161187172E-2
6.411081361E0,-1.823393703E-1,1.331257820E0,-1.368643284E0
6.461081361E0,-3.048913777E-1,7.999429703E-1,2.298720598E0
6.511081361E0,-2.068387747E0,1.523783684E0,-3.068126738E-1
6.561081361E0,2.261780262E0,1.048271179E0,8.938465714E-1
6.611081361E0,1.464293838E0,-1.708118439E0,5.201498032E0
6.661081361E0,3.696632862E0,-3.472066879E0,6.516345024E0
6.711081361E0,-5.194159746E-1,-5.488790512E0,8.765385628E0
6.761081361E0,1.639672041E0,-5.596502304E0,4.817693710E0
6.811081361E0,-9.588876367E-1,-4.770096779E0,-6.528643608E0
6.861081361E0,-6.241163015E-1,-3.810818672E0,-7.605459690E-1
6.911081361E0,-2.502232552E0,-6.862449646E-2,-5.671114922E0
6.961081361E0,2.408082962E0,4.341613770E0,-6.460527897E0
7.011081361E0,1.570277691E0,6.337273598E0,-5.747900963E0
7.061081361E0,-4.425313473E-1,5.461062431E0,-4.093930244E0
7.111081361E0,1.109868288E0,2.931907654E0,-1.405557632E0
7.161081361E0,-2.897184372E0,-8.570827484E0,9.149213791E0
7.211081361E0,-1.894587517E0,-6.864004135E-1,4.617259026E0
7.261081361E0,1.056021810E0,-7.534005165E0,-4.005331993E0
7.311081361E0,-4.196751595E0,4.443127155E0,-1.156352806E1
7.361081361E0,1.484595418E0,-2.006140709E0,-7.515360832E0
7.411081361E0,5.852688313E0,-1.946797371E0,1.213858843E0
7.461081361E0,1.544059753E0,3.607769012E-1,-2.359533310E0
7.511081361E0,-2.303035736E0,2.139315605E0,2.624057293E0
7.561081361E0,-2.112450123E0,2.609082699E0,2.830324173E0
7.611081361E0,1.896969557E0,7.928085327E-2,-1.276434660E0
7.661081361E0,2.110318661E0,2.757911682E-1,2.039398193E0
7.711081361E0,1.815837026E0,8.563671112E-1,4.060097218E0
7.761081361E0,8.080219030E-1,-1.671954155E0,6.142828941E0
7.811081361E0,-9.404402375E-1,-4.664186478E0,7.874798298E0
7.861081361E0,1.265687227E0,-4.497441292E0,-6.969539642E0
7.911081361E0,1.060401797E-1,-3.793874741E0,1.210599422E0
7.961081361E0,-2.973356962E0,-2.890425682E0,-2.648255348E0
8.011081361E0,-3.244899273E0,1.892357349E0,-2.386175632E0
8.061081361E0,-1.989949107E0,3.063654423E0,-2.679413795E0
8.111081361E0,-8.623499274E-1,3.014954567E0,-4.869523525E0
8.161081361E0,-6.076369882E-1,2.779900551E0,-2.100954771E0
8.211081361E0,1.027580619E0,2.329471111E0,9.765696526E-1
8.261081361E0,1.509401083E0,3.012604713E0,1.464229393E1
8.311081361E0,-9.962500334E-1,-4.579304695E0,6.461787224E0
8.361081361E0,-1.920469046E0,-7.422438622E0,2.804713011E0
8.411081361E0,-3.090467453E0,4.573421478E0,-1.245617962E1
8.461081361E0,-1.462562680E0,4.089384079E-1,-3.845803976E0
8.511081361E0,6.148905277E0,-4.131723404E0,-4.551380157E0
8.561081361E0,8.496772766E0,1.340866089E-1,6.856459379E-1
8.611081361E0,-6.210454702E-1,2.601866722E0,4.069526672E0
8.661081361E0,-1.036826372E0,1.610458374E0,2.848699570E0
8.711081361E0,-1.690518558E-1,4.237031937E-1,1.132761002E0
8.761081361E0,-8.335760236E-1,-1.113977432E-1,1.824352741E-1
8.811081361E0,1.634693027E0,-3.880992889E0,6.215196609E0
8.861081361E0,5.935069084E0,-4.685382843E0,8.001664162E0
8.911081361E0,3.643779516E0,-8.332945824E0,5.516586304E0
8.961081361E0,-8.687412143E-1,-2.626958847E0,-2.949933052E0
9.011081361E0,-3.154476166E0,-9.339838028E0,-3.777865410E0
9.061081361E0,-2.228119135E0,-1.899325371E0,-4.858017921E0
9.111081361E0,-1.278461814E-1,2.384197712E0,-5.277276993E0
9.161081361E0,4.072634697E0,5.402842522E0,-6.880983353E0
9.211081361E0,2.681347132E0,6.992412567E0,-7.494325638E0
9.261081361E0,1.117655277E0,7.231428146E0,-6.349828720E0
9.311081361E0,-5.109764576E0,-3.152170181E-1,1.213351059E1
9.361081361E0,4.039399624E-1,-7.741260529E0,7.786887169E0
9.411081361E0,-2.546810627E0,1.757970810E0,5.195888519E0
9.461081361E0,-1.255290508E0,-1.439130783E0,-1.377807617E1
9.511081361E0,8.201914430E-1,-1.095694542E0,-8.559694290E0
9.561081361E0,5.219542503E0,-4.770174980E0,-5.003855705E0
9.611081361E0,6.152042389E0,-1.120491028E0,9.663891792E-1
9.661081361E0,-1.970580101E0,3.806644917E0,3.269046068E0
9.711081361E0,-3.312807322E0,1.994204521E0,3.872988224E0
9.761081361E0,-3.737969697E-1,1.108666420E0,-1.515250683E0
9.811081361E0,3.253943682E0,-3.054988861E0,3.594608545E0
9.861081361E0,7.044881344E0,-2.930074692E0,7.841492653E0
9.911081361E0,9.447367787E-1,-6.296707153E0,6.862564564E0
9.961081361E0,1.982787848E0,-6.475985527E0,4.829950809E0
1.001108136E1,-8.356361389E-1,-7.021318436E0,-8.139081955E0
1.006108136E1,-4.786891460E0,-7.325621605E0,9.390816689E-1
1.011108136E1,1.189707041E0,-2.213878632E-1,-5.473557472E0
1.016108136E1,1.975790262E0,4.600439072E0,-5.745269775E0
1.021108136E1,5.386651993E0,6.283489227E0,-8.176581383E0
1.026108136E1,1.328028440E0,7.634582520E0,-7.931579590E0
1.031108136E1,1.852664948E-1,5.926576614E0,-7.068979740E-1
1.036108136E1,-1.348049068E1,-2.277591324E1,1.038789845E1
1.041108136E1,6.060523987E-1,6.286192417E0,6.140885353E-1
1.046108136E1,-4.190393925E0,-6.866785049E0,-9.882935524E0
1.051108136E1,-1.682467222E0,2.072808266E0,-8.466299057E0
1.056108136E1,6.894679070E0,-1.522412300E0,-1.014101696E1
1.061108136E1,6.177684307E0,-3.319884300E0,6.573152542E-1
1.066108136E1,1.577793121E0,2.936589718E0,2.166882038E0
1.071108136E1,-4.188343048E0,1.891981125E0,3.069484234E0
1.076108136E1,-2.093756199E0,1.010286331E0,4.731285572E-2
1.081108136E1,1.730166316E0,5.784816742E-1,-8.268218040E-1
1.086108136E1,5.871793270E0,-3.010498047E0,8.790281296E0
1.091108136E1,1.195603132E0,-7.685726166E0,5.431941986E0
1.096108136E1,1.802256107E0,-3.522478104E0,8.026009560E0
1.101108136E1,3.301035643E0,-6.162440300E0,-5.423196554E-1
1.106108136E1,-3.322099924E0,-6.911737442E0,-6.911328316E0
1.111108136E1,-4.600605011E0,-3.610352516E0,-3.942820549E0
1.116108136E1,-7.782170773E-1,2.534851074E0,-5.745488167E0
1.121108136E1,4.905043125E0,4.823056221E0,-7.303091049E0
1.126108136E1,3.298658371E0,6.270487309E0,-6.933738232E0
1.131108136E1,1.254892111E0,7.862140179E0,-6.352367401E0
1.136108136E1,-9.043416023E0,-7.332593918E0,1.516636753E1
1.141108136E1,1.763024688E0,-4.582555771E0,6.219126701E0
1.146108136E1,-2.972663641E0,-1.522062302E0,-2.397587299E0
1.151108136E1,-3.299924850E0,-5.417633057E-2,-1.263088894E1
1.156108136E1,2.599737644E0,6.623926163E-1,-1.080955601E1
1.161108136E1,4.242593765E0,-5.986138344E0,-4.528880119E-1
1.166108136E1,5.736718178E0,1.617865562E0,-1.823495626E-1
1.171108136E1,-2.341973305E0,2.753339767E0,4.183546543E0
1.176108136E1,-2.558855534E0,1.489057541E0,1.014350653E0
1.181108136E1,-3.915010393E-2,1.473598480E0,-6.410515308E-1
1.186108136E1,4.463178158E0,-2.793526649E0,5.686648369E0
1.191108136E1,5.185132980E0,-4.739999771E0,5.515263081E0
1.196108136E1,8.325064778E-1,-6.041728020E0,1.002622986E1
1.201108136E1,5.876972079E-1,-6.571986198E0,2.178068876E0
1.206108136E1,-2.848000050E0,-7.172667503E0,-7.751304150E0
1.211108136E1,-3.657693624E0,-6.394824028E0,-2.845169783E0
1.216108136E1,-2.340075672E-1,1.501515388E0,-6.801186562E0
1.221108136E1,4.326765537E0,4.238739491E0,-7.484638214E0
1.226108136E1,3.809206486E0,7.586752892E0,-7.093274117E0
1.231108136E1,1.267632365E0,7.693189144E0,-7.984821320E0
1.236108136E1,-2.345402241E-1,3.364797592E0,4.863495827E0
1.241108136E1,-8.707229614E0,-2.177350998E1,1.135212231E1
1.246108136E1,-2.623478413E0,4.216581345E0,-1.859954834E0
1.251108136E1,3.462456465E-1,-5.358799934E0,-1.499236298E1
1.256108136E1,-1.458603978E0,4.007836819E0,-9.216449738E0
1.261108136E1,4.857488632E0,-4.634655952E0,-1.216466331E1
1.266108136E1,6.318205357E0,-3.747635841E0,5.260448456E-1
1.271108136E1,2.426663160E0,3.301835060E0,-7.242798805E-3
1.276108136E1,-2.401656866E0,3.037560463E0,2.697830915E0
1.281108136E1,-3.725658894E0,2.586784363E-1,5.141602159E-1
1.286108136E1,2.778790474E0,1.994693756E0,2.031856298E0
1.291108136E1,5.604186535E0,-2.827703476E0,4.116363049E0
1.296108136E1,5.350957394E0,-5.500237465E0,4.711673737E0
1.301108136E1,1.022883177E0,-4.907425880E0,6.978731155E0
1.306108136E1,-4.670410752E-1,-4.511958122E0,3.784881592E0
1.311108136E1,-2.073399544E0,-7.638871193E0,-7.606288433E0
1.316108136E1,-3.983436108E0,-7.656874657E0,-9.305180311E-1
1.321108136E1,2.830404043E0,5.049076080E-1,-4.701718807E0
1.326108136E1,4.077425957E0,4.504359245E0,-4.173005581E0
1.331108136E1,4.583046436E0,6.660483360E0,-7.424749374E0
1.336108136E1,1.457422137E0,7.574375153E0,-8.013563156E0
