"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.035214660E-1,3.525799990E0,-3.740520096E1,-3.896680069E1
1.535214660E-1,3.745399952E0,-3.756380081E1,-3.907659912E1
2.035214660E-1,3.867399931E0,-3.740520096E1,-3.918639755E1
2.535214660E-1,3.720999956E0,-3.712459946E1,-3.933279800E1
3.035214660E-1,3.659999847E0,-3.656340027E1,-3.975979996E1
3.535214660E-1,3.611199856E0,-3.613639832E1,-4.017459869E1
4.035219800E-1,3.537999868E0,-3.602659988E1,-4.029660034E1
4.535219800E-1,3.452600002E0,-3.609980011E1,-4.019899750E1
5.035219800E-1,3.355000019E0,-3.606319809E1,-4.021120071E1
5.535219800E-1,3.147599936E0,-3.608760071E1,-4.011359787E1
6.035219800E-1,2.744999886E0,-3.625839996E1,-3.986959839E1
6.535219800E-1,2.110599995E0,-3.656340027E1,-3.932059860E1
7.035219800E-1,1.049199939E0,-3.701480103E1,-3.839339828E1
7.535219800E-1,-2.683999836E-1,-3.758819962E1,-3.722219849E1
8.035219800E-1,-1.354200006E0,-3.814939880E1,-3.598999786E1
8.535219800E-1,-2.037400007E0,-3.874720001E1,-3.496519852E1
9.035219800E-1,-2.671799898E0,-3.927180099E1,-3.406240082E1
9.535219800E-1,-3.611199856E0,-3.940599823E1,-3.345240021E1
1.003521980E0,-4.782400131E0,-3.897900009E1,-3.315959930E1
1.053521980E0,-6.624599934E0,-3.747840118E1,-3.314739990E1
1.103521980E0,-9.064599991E0,-3.485540009E1,-3.300099945E1
1.153521980E0,-1.209019947E1,-3.113439941E1,-3.241539764E1
1.203521980E0,-1.595759964E1,-2.622999954E1,-3.145159912E1
1.253521980E0,-2.048379898E1,-2.032519913E1,-3.013399887E1
1.303521980E0,-2.509539986E1,-1.376159954E1,-2.864559937E1
1.353521980E0,-2.929220009E1,-7.197999954E0,-2.703520012E1
1.403521980E0,-3.285459900E1,-7.319999933E-1,-2.559560013E1
1.453521980E0,-3.512379837E1,4.770199776E0,-2.447319984E1
1.503521198E0,-3.627059937E1,9.027999878E0,-2.372900009E1
1.553521198E0,-3.642919922E1,1.234639931E1,-2.381439972E1
1.603521198E0,-3.577040100E1,1.481079960E1,-2.458300018E1
1.653521198E0,-3.458699799E1,1.670179939E1,-2.587619972E1
1.703521198E0,-3.313520050E1,1.808040047E1,-2.755979919E1
1.753521198E0,-3.156139946E1,1.889780045E1,-2.943859863E1
1.803521198E0,-3.026819992E1,1.911739922E1,-3.100020027E1
1.853521198E0,-2.915799904E1,1.943459892E1,-3.222019958E1
1.903521198E0,-2.816979980E1,2.008119965E1,-3.314739990E1
1.953521198E0,-2.755979919E1,2.091079903E1,-3.348899841E1
2.003521198E0,-2.716939926E1,2.205760002E1,-3.334259796E1
2.053521198E0,-2.698639870E1,2.341180038E1,-3.274480057E1
2.103521198E0,-2.687660027E1,2.505879974E1,-3.168339920E1
2.153521198E0,-2.669359970E1,2.740119934E1,-2.995100021E1
2.203521198E0,-2.624219894E1,3.050000000E1,-2.775499916E1
2.253521198E0,-2.558339882E1,3.378179932E1,-2.522959900E1
2.303521198E0,-2.455859947E1,3.711240005E1,-2.241139984E1
2.353521198E0,-2.328979874E1,4.022340012E1,-1.967860031E1
2.403521354E0,-2.213080025E1,4.272439957E1,-1.765340042E1
2.453521354E0,-2.111820030E1,4.449340057E1,-1.639679909E1
2.503521354E0,-2.025199890E1,4.546939850E1,-1.603079987E1
2.553521354E0,-1.873920059E1,4.565240097E1,-1.715320015E1
2.603521354E0,-1.553059959E1,4.510339737E1,-1.952000046E1
2.653521354E0,-1.179739952E1,4.393219757E1,-2.244799995E1
2.703521354E0,-8.515600204E0,4.206559753E1,-2.622999954E1
2.753521354E0,-5.184999943E0,4.016239929E1,-3.025599861E1
2.803521354E0,-1.537199974E0,3.880820084E1,-3.356219864E1
2.853521354E0,2.281399965E0,3.788100052E1,-3.619739914E1
2.903521354E0,6.307399750E0,3.706359863E1,-3.836899948E1
2.953521354E0,9.259799957E0,3.649020004E1,-3.946699905E1
3.003521354E0,1.052859974E1,3.640480042E1,-3.943040085E1
3.053521354E0,1.067500019E1,3.701480103E1,-3.871059799E1
3.103521354E0,1.035779953E1,3.833239746E1,-3.734420013E1
3.153521354E0,9.601399422E0,3.994279861E1,-3.548979950E1
3.203521354E0,8.454599380E0,4.135799789E1,-3.356219864E1
3.253521354E0,6.844199657E0,4.287080002E1,-3.130519867E1
3.303521354E0,4.867799759E0,4.479840088E1,-2.829179955E1
3.353521354E0,2.891399860E0,4.694559860E1,-2.457079887E1
3.403521354E0,6.832000017E-1,4.893420029E1,-2.059359932E1
3.453521354E0,-1.500599980E0,5.043479919E1,-1.695800018E1
3.503521354E0,-3.428200006E0,5.141079712E1,-1.438379955E1
