Time window,Time (s)_acc,Time (s)_gyro,Time (s)_mag,Time (s)_lin_acc,Time (s)_prox,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Distance (cm)
0.06,0.074874018,0.067276726,,,,2.160120726,5.149055004,11.58066368,-0.3014531136,0.6363501549,-0.1366770715,,,,,,,
0.09,,0.11808261099999999,0.10352146599999999,0.11108136099999999,,,,,-0.1068982705,-0.3309265077,-0.3239017725,3.52579999,-37.40520096,-38.96680069,-0.1000961065,-0.5310440063,-0.7711915970000001,
0.12,0.124874018,,,,,1.82482636,3.947260141,10.79073238,,,,,,,,,,
0.15,0.17487401800000002,0.16888771600000002,0.153521466,0.161081361,,0.6589235067,2.549253464,8.161917686,-0.1673721522,-0.12339114400000001,-0.6035171151,3.745399952,-37.56380081,-39.07659912,-0.6169233322,-1.6534338,-1.279860497,
0.18,,,0.203521466,,,,,,,,,3.8673999310000005,-37.40520096,-39.18639755,,,,
0.21,0.224874018,0.21969365300000002,,0.21108136100000002,,1.688435435,3.849154234,8.375178337000001,-0.7747070193000001,-1.382347345,-0.6620057225,,,,-0.7496855259,0.2316486835,-2.22171402,
0.24,,,0.25352146600000003,0.261081361,,,,,,,,3.7209999560000004,-37.12459946,-39.332798,0.1718685627,-3.392025471,1.114605904,
0.27,0.274874018,0.270500372,,,,1.68125701,1.234696507,10.19701385,-1.01171577,-0.8075400590999999,-0.9324583411,,,,,,,
0.3,0.324874018,0.321306205,0.303521466,0.311081361,,0.1968096644,1.275374413,8.714959145,-0.2903051674,0.12140589210000001,-0.07925742865,3.659999847,-36.56340027,-39.75979996,-1.4892585280000001,-2.224462032,-0.3486680984,
0.32999999999999996,,,0.353521466,,,,,,,,,3.6111998560000003,-36.13639832,-40.17459869,,,,
0.36,0.374874018,0.37211136100000003,,0.361081361,,1.300499082,2.7598218919999997,7.1949186329999995,0.8435800672,-0.3490992188,-0.004275931045,,,,-1.010643363,0.3597490788,-2.1519956590000002,
0.39,,,0.40352198,0.41108136100000003,0.41814046899999996,,,,,,,3.537999868,-36.02659988,-40.29660034,0.5450856686,0.7368505001000001,-1.619633675,5.0
0.42,0.42487401799999996,0.422917813,,,,2.5262224669999997,3.908974886,7.0151577,0.6314633489,0.1091889441,0.0838387832,,,,,,,
0.44999999999999996,0.47487401799999995,0.47372453200000003,0.45352198,0.461081361,,2.408974171,3.925724745,7.884350777000001,0.1913478971,-0.09101624042000002,0.1070509851,3.452600002,-36.09980011,-40.1989975,0.3318632841,0.9988725184999999,-1.650074005,
0.48,,,0.50352198,,,,,,,,,3.3550000189999998,-36.06319809,-40.21120071,,,,
0.51,0.524874018,0.524530365,,0.511081361,,1.817647934,4.105186462,9.342177391,0.409267664,-0.09177979826999999,-0.024586603050000003,,,,0.33615469929999997,1.046221256,0.8157196045,
0.54,,,0.55352198,0.5610813610000001,,,,,,,,3.147599936,-36.08760071,-40.11359787,-0.8060681820000001,0.8836550713,-0.14558887480000002,
0.57,0.5748740179999999,0.575335521,,,,1.420140266,4.272983074,8.499605179,0.42728766799999995,-0.8362498879000001,0.1311794519,,,,,,,
0.6,0.624874018,0.626141459,0.60352198,0.611081361,,4.587639332,5.429314613,10.39801121,0.1240019947,-1.6958646769999999,0.058641336860000004,2.7449998860000004,-36.25839996,-39.86959839,0.7973508834999999,1.4796514509999998,1.421490669,
