"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.179198950E-1,2.492222786E-1,4.357872009E-1,1.791744232E-1
1.679198950E-1,-6.207774878E-1,-6.255650520E-2,3.841209412E-2
2.179198950E-1,2.227432728E-1,1.430685520E-1,1.433925629E-1
2.679198950E-1,-7.380521297E-2,3.358919621E-1,1.002178192E0
3.179198950E-1,2.510531545E-1,7.150959969E-2,1.503915787E-1
3.679198950E-1,-2.722148299E-1,-7.323074341E-2,-1.615810394E-2
4.179198950E-1,-1.284925193E-1,-7.004859447E-1,1.510848999E-1
4.679198950E-1,-2.242521793E-1,-6.052386761E-1,-1.109666824E-1
5.179198950E-1,-4.531720281E-1,-1.749687910E0,-1.747589111E-1
5.679198950E-1,1.954321861E-1,-1.376544237E0,-2.140674591E-1
6.179198950E-1,1.047339201E0,-2.388352394E0,-2.974631310E0
6.679198950E-1,-1.294734478E-1,-2.443008423E-1,1.266820908E0
7.179198950E-1,1.849398136E0,-7.426561117E-1,-1.262831688E0
7.679198950E-1,1.837026596E0,1.329070449E0,1.781829834E0
8.179198950E-1,-1.251079559E0,1.121101856E0,3.061256409E-1
8.679198950E-1,1.715518951E0,2.261674404E0,2.251282692E0
9.179198950E-1,1.845635891E0,1.348595858E0,-8.765897751E-1
9.679198950E-1,1.531546593E0,2.325492382E0,2.869531631E0
1.017919895E0,1.845588684E-1,2.762308598E0,3.027644157E0
1.067919895E0,-8.113269806E-1,1.705706239E0,2.771785259E-1
1.117919895E0,4.621419907E-1,1.573669910E0,1.610820770E0
1.167919895E0,-3.067822933E0,2.612423897E-1,5.805164576E-1
1.217919895E0,-7.594041824E-1,-2.973985672E-1,-4.526901245E-1
1.267919895E0,7.710704803E-1,-8.220317364E-1,-5.000867844E-1
1.317919895E0,1.428018570E0,-1.269190788E0,-7.531166077E-1
1.367919895E0,-1.515957832E0,-1.021275997E0,7.594847679E-1
1.417919895E0,-4.383778572E0,3.771357536E-1,-6.236884117E0
1.467919895E0,1.054915428E0,2.334680557E0,-1.137330055E0
1.517919895E0,-2.172465324E-1,2.561613083E0,1.336657047E0
1.567919895E0,-6.243948936E-1,1.795475483E0,2.702798843E-1
1.617919895E0,-7.382106781E-2,2.282881737E-1,8.396294117E-1
1.667919895E0,1.067902088E0,-2.135846615E0,6.987377644E0
1.717919895E0,1.822903633E0,-5.329496384E0,-1.242382884E0
1.767919895E0,5.326776505E-1,-9.292554855E-1,-3.907635212E-1
1.817919895E0,-2.317519188E-1,1.473444939E0,-1.126074672E0
1.867919895E0,-2.818374634E-1,-4.065198898E-1,-8.071451187E-1
1.917919895E0,1.838717461E-1,4.587888718E-1,3.613996506E-2
1.967919895E0,-1.070665598E0,8.550643921E-3,2.264506817E-1
2.017919895E0,4.579617977E-1,7.463455200E-3,1.957535744E-2
2.067919895E0,5.021619797E-2,5.730455875E0,1.126371861E0
2.117919895E0,-6.965243816E-1,-4.177885056E-1,1.468843699E0
2.167919895E0,3.596782684E-1,-1.402957916E0,-6.066570282E-1
2.217919895E0,-5.910568237E-1,-1.202681541E0,-8.670978546E-1
2.267919895E0,4.596486092E-1,9.621334076E-1,-3.390507698E-1
2.317919895E0,4.078057766E0,-3.287782669E0,-2.504681587E0
2.367919895E0,-2.917053938E0,-2.398481369E-1,2.019168854E0
2.417919895E0,1.888706982E-1,4.528102875E-1,-5.015497208E-1
2.467919895E0,-1.018216610E-1,8.733682632E-1,-1.583187580E-1
2.517919895E0,-1.125958413E-1,-7.549457550E-1,4.917485714E-1
2.567919895E0,-4.548962712E-1,6.832504272E-2,-3.910281658E-1
2.617919895E0,1.845580637E-1,5.021018982E-1,4.961593151E-1
2.667919895E0,-2.376541197E-1,6.315231323E-3,6.361722946E-2
2.717919895E0,3.751404881E-1,7.494869232E-1,-1.260032654E-1
2.767919895E0,-1.734333515E0,-2.929131508E0,-7.498672009E-1
2.817919895E0,-4.314268529E-1,3.177100182E0,-5.524580479E-1
2.867919895E0,5.300245881E-1,4.520511150E0,3.719933033E-1
2.917919895E0,9.697791338E-1,-3.056408882E0,1.788520575E0
2.967919895E0,3.769767284E-2,-7.255773544E-1,4.555816650E-1
3.017919895E0,-9.606130123E-1,1.725124359E0,4.155158997E-2
3.067919895E0,-8.107066154E-2,1.251265049E0,-3.334903717E-1
3.117919895E0,1.057441950E0,-3.664741516E-1,7.024669647E-2
3.167919895E0,-2.128505111E-1,4.665946960E-1,-4.245686531E-1
3.217919895E0,-1.206107140E0,5.719423294E-1,-6.046614647E-1
