Time window,Time (s)_acc,Time (s)_gyro,Time (s)_mag,Time (s)_lin_acc,Time (s)_prox,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Distance (cm)
0.03,,0.052486458,,,,,,,-0.003665083554,-0.5951179266,0.1073564067,,,,,,,
0.06,0.073536354,,,,,-2.012962103,3.975973845,8.375178337000001,,,,,,,,,,
0.09,,0.10415458300000001,,0.117919895,,,,,-0.1174353883,-0.9194778204,0.2983988822,,,,0.24922227859999999,0.43578720090000006,0.17917442320000002,
0.12,0.123536354,,0.13075135400000001,,,-1.186840057,4.208376884,9.069396019,,,,15.17679977,-40.29660034,-38.53979874,,,,
0.15,0.17353635399999998,0.154962447,,0.167919895,,-1.727917075,3.549752474,8.521140099,-0.1427855492,-0.8893936276000001,0.2240282297,,,,-0.6207774878,-0.0625565052,0.03841209412,
0.18,,0.205769531,0.18075135399999998,,,,,,-0.3565820754,-0.8773293495000001,0.4271349311,14.06659985,-40.15019989,-38.74720001,,,,
0.21,0.223536354,,0.230751354,0.217919895,,-0.15732808410000002,3.9783668519999997,9.512367249,,,,12.93200016,-39.95499802,-39.2961998,0.2227432728,0.143068552,0.1433925629,
0.24,,0.256577499,,0.267919895,,,,,-0.238077715,-0.47875154020000005,0.1110214889,,,,-0.07380521297,0.3358919621,1.0021781920000001,
0.27,0.273536354,,0.280751354,,,-0.4399802685,4.062115669,10.10130119,,,,12.09019947,-39.69879913,-39.69879913,,,,
0.3,0.32353635399999997,0.30738619699999997,,0.317919895,,-0.2413759828,3.920938969,9.524331092999999,-0.07605048268999999,-0.06306997687,-0.07605048268999999,,,,0.2510531545,0.07150959969,0.1503915787,
0.32999999999999996,,0.358194114,0.330751354,,,,,,-0.036039989439999996,-0.2089097649,0.13362284,11.51679993,-39.56459808,-39.94279861,,,,
