"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.248645800E-2,-3.665083554E-3,-5.951179266E-1,1.073564067E-1
1.041545830E-1,-1.174353883E-1,-9.194778204E-1,2.983988822E-1
1.549624470E-1,-1.427855492E-1,-8.893936276E-1,2.240282297E-1
2.057695310E-1,-3.565820754E-1,-8.773293495E-1,4.271349311E-1
2.565774990E-1,-2.380777150E-1,-4.787515402E-1,1.110214889E-1
3.073861970E-1,-7.605048269E-2,-6.306997687E-2,-7.605048269E-2
3.581941140E-1,-3.603998944E-2,-2.089097649E-1,1.336228400E-1
4.090002070E-1,1.985253533E-3,-1.068982705E-1,1.291942000E-1
4.598081760E-1,-1.502684206E-1,-2.970244884E-1,2.730487287E-1
5.106168740E-1,-1.490467340E-1,-1.296828747E0,7.834116220E-1
5.614247390E-1,-4.340069890E-1,-2.082225561E0,3.403946459E-1
6.122318220E-1,-1.316986680E0,-2.241656780E0,-8.780929446E-2
6.630397390E-1,-1.797418118E0,-3.081571817E0,4.599680007E-1
7.138483840E-1,-2.212183237E0,-2.606943369E0,6.016845703E-1
7.646563010E-1,-2.594726562E0,-1.722131133E0,-5.025745630E-1
8.154633320E-1,-2.255248070E0,-1.964790225E0,5.905365944E-1
8.662712490E-1,-1.968913436E0,-1.421288848E0,6.429167092E-2
9.170798950E-1,-2.438044071E0,-1.730682969E0,7.895200700E-2
9.678877590E-1,-1.996706963E0,-2.081156492E0,-2.440334857E-1
1.018694791E0,-2.814478874E-1,-2.587396383E0,-8.047912270E-2
1.069502707E0,-5.549547076E-1,-1.363869190E0,-3.437542915E-1
1.120311353E0,-8.707627654E-1,-6.055023670E-1,-8.918370306E-2
1.171119218E0,-8.780929446E-1,1.437018216E-1,5.441122055E-1
1.221926249E0,-6.623111367E-1,1.163969398E0,1.216655016E0
1.272734114E0,-1.618745178E-2,1.039509296E0,9.321529269E-1
1.323542499E0,3.999522328E-1,8.017370105E-1,1.524369359E0
1.374350312E0,3.642176688E-1,5.001311898E-1,2.025264025E0
1.425157343E0,-7.777612805E-1,-7.345438004E-1,2.021599054E0
1.475965208E0,2.623589039E-1,-5.494571328E-1,8.415948153E-1
1.526773801E0,1.780619770E-1,-1.235438585E0,1.567128658E0
1.577581614E0,3.576510847E-1,-6.788040400E-1,1.844911456E0
1.628388593E0,4.989095032E-1,6.084038615E-1,1.447097182E0
1.679196458E0,6.700994372E-1,-7.186617851E-1,1.756338596E0
