"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.307513540E-1,1.517679977E1,-4.029660034E1,-3.853979874E1
1.807513540E-1,1.406659985E1,-4.015019989E1,-3.874720001E1
2.307513540E-1,1.293200016E1,-3.995499802E1,-3.929619980E1
2.807513540E-1,1.209019947E1,-3.969879913E1,-3.969879913E1
3.307513540E-1,1.151679993E1,-3.956459808E1,-3.994279861E1
3.807513540E-1,1.100440025E1,-3.936940002E1,-4.017459869E1
4.307504160E-1,1.062619972E1,-3.928400040E1,-4.035759735E1
4.807504160E-1,1.026019955E1,-3.919860077E1,-4.055279922E1
5.307504160E-1,8.930399895E0,-3.896680069E1,-4.105299759E1
5.807504160E-1,7.344399929E0,-3.864960098E1,-4.155319977E1
6.307504160E-1,5.404599667E0,-3.803960037E1,-4.191920090E1
6.807504160E-1,2.854799986E0,-3.697819901E1,-4.235839844E1
7.307504160E-1,-6.222000122E-1,-3.513599777E1,-4.284639740E1
7.807504160E-1,-4.562799931E0,-3.268379974E1,-4.328559875E1
8.307504160E-1,-9.015799522E0,-2.935319901E1,-4.357839966E1
8.807504160E-1,-1.395679951E1,-2.530279922E1,-4.356620026E1
9.307504160E-1,-1.892219925E1,-2.064239883E1,-4.321239853E1
9.807504160E-1,-2.397299957E1,-1.531099987E1,-4.218759918E1
1.030750416E0,-2.904819870E1,-1.010159969E1,-4.039419937E1
1.080750416E0,-3.386719894E1,-5.416800022E0,-3.792979813E1
1.130750416E0,-3.795420074E1,-1.354200006E0,-3.501399994E1
1.180750416E0,-4.160199738E1,2.220399857E0,-3.200059891E1
1.230750416E0,-4.457880020E1,5.404599667E0,-2.927999878E1
1.280750416E0,-4.670159912E1,8.198399544E0,-2.714499855E1
1.330750156E0,-4.805579758E1,1.066279984E1,-2.563220024E1
1.380750156E0,-4.849499893E1,1.267579937E1,-2.488799858E1
1.430750156E0,-4.806800079E1,1.500599957E1,-2.492459869E1
1.480750156E0,-4.707979965E1,1.767779922E1,-2.540040016E1
1.530750156E0,-4.581100082E1,2.047159958E1,-2.626659966E1
1.580750156E0,-4.434700012E1,2.339959908E1,-2.708399963E1
1.630750156E0,-4.267559814E1,2.613239861E1,-2.773060036E1
1.680750156E0,-4.094319916E1,2.869439888E1,-2.823079872E1
1.730750156E0,-3.927180099E1,3.107339859E1,-2.851140022E1
1.780750156E0,-3.788100052E1,3.314739990E1,-2.854800034E1
1.830750156E0,-3.689279938E1,3.469680023E1,-2.835280037E1
1.880750156E0,-3.594120026E1,3.596559906E1,-2.816979980E1
1.930750156E0,-3.492860031E1,3.711240005E1,-2.803559875E1
1.980750156E0,-3.387939835E1,3.794199753E1,-2.812100029E1
2.030750156E0,-3.320840073E1,3.850320053E1,-2.819419861E1
2.080750156E0,-3.276919937E1,3.883259964E1,-2.814539909E1
2.130750156E0,-3.234220123E1,3.883259964E1,-2.843820000E1
2.180750156E0,-3.137839890E1,3.860079956E1,-2.920679855E1
2.230750156E0,-3.021939850E1,3.836899948E1,-3.013399887E1
2.280750156E0,-2.857239914E1,3.829579926E1,-3.109779930E1
2.330750156E0,-2.608359909E1,3.839339828E1,-3.200059891E1
2.380750156E0,-2.355819893E1,3.836899948E1,-3.293999863E1
2.430750156E0,-2.097179985E1,3.836899948E1,-3.390380096E1
2.480750156E0,-1.844639969E1,3.834460068E1,-3.477000046E1
2.530750156E0,-1.605520058E1,3.850320053E1,-3.531900024E1
2.580750156E0,-1.402999973E1,3.880820084E1,-3.542879868E1
2.630750156E0,-1.202919960E1,3.904000092E1,-3.562400055E1
2.680750156E0,-1.047980022E1,3.901559830E1,-3.590459824E1
2.730750156E0,-9.869799614E0,3.861299896E1,-3.612419891E1
2.780750156E0,-9.259799957E0,3.835680008E1,-3.641699982E1
2.830750156E0,-8.759599686E0,3.817379761E1,-3.655120087E1
2.880750156E0,-8.649800301E0,3.799079895E1,-3.672200012E1
2.930750156E0,-8.954799652E0,3.763700104E1,-3.683179855E1
2.980750156E0,-9.430600166E0,3.723439789E1,-3.695380020E1
3.030750156E0,-9.833199501E0,3.688059998E1,-3.717340088E1
3.080750156E0,-1.021140003E1,3.631940079E1,-3.741740036E1
3.130750156E0,-1.056519985E1,3.581919861E1,-3.774679947E1
3.180750156E0,-1.100440025E1,3.518479919E1,-3.792979813E1
3.230750156E0,-1.132159996E1,3.447719955E1,-3.824699783E1
3.280750156E0,-1.119960022E1,3.395259857E1,-3.846659851E1
3.330750156E0,-1.078479958E1,3.379399872E1,-3.843000031E1
3.380750156E0,-1.038220024E1,3.392819977E1,-3.819820023E1
3.430750156E0,-1.002839947E1,3.429420090E1,-3.753939819E1
3.480750156E0,-9.869799614E0,3.500180054E1,-3.661219788E1
3.530750156E0,-9.894199371E0,3.585580063E1,-3.558739853E1
3.580750156E0,-1.012599945E1,3.677079773E1,-3.440399933E1
3.630750156E0,-1.046759987E1,3.763700104E1,-3.324499893E1
3.680750156E0,-1.102880001E1,3.839339828E1,-3.217139816E1
3.730750156E0,-1.159000015E1,3.907659912E1,-3.121979904E1
3.780750156E0,-1.210239983E1,3.967440033E1,-3.042679977E1
3.830750156E0,-1.263920021E1,4.005260086E1,-2.993879890E1
3.880750156E0,-1.309060001E1,4.034539795E1,-2.962159920E1
3.930750156E0,-1.343219948E1,4.054059982E1,-2.918239975E1
3.980750156E0,-1.363959980E1,4.079679871E1,-2.877979851E1
4.030750156E0,-1.371280003E1,4.112619781E1,-2.832839966E1
4.080750156E0,-1.360299969E1,4.144339752E1,-2.782819939E1
4.130750156E0,-1.349319935E1,4.178499985E1,-2.737679863E1
4.180750156E0,-1.344439983E1,4.191920090E1,-2.694979858E1
4.230750156E0,-1.346879959E1,4.211439896E1,-2.640079880E1
4.280750156E0,-1.345660019E1,4.229739761E1,-2.588839912E1
4.330750156E0,-1.345660019E1,4.251699829E1,-2.543700027E1
4.380750156E0,-1.344439983E1,4.276099777E1,-2.492459869E1
4.430750156E0,-1.343219948E1,4.304159927E1,-2.430239868E1
4.480750156E0,-1.349319935E1,4.337099838E1,-2.353380013E1
