"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.959620831E-2,-2.260069083E-1,-4.748816192E-2,1.357472044E-1
1.194592083E-1,3.644562573E-1,-6.764222789E-1,-6.633110672E-1
1.693212083E-1,-3.707661704E-1,3.808502054E-1,-9.270737028E-1
2.191842083E-1,-2.235744300E-1,-1.363308735E0,-2.780643404E-1
2.690472083E-1,1.142093656E0,1.876883134E0,1.527126083E0
3.189102083E-1,-1.109080277E0,-2.224730485E0,8.554610986E-1
3.687722083E-1,-1.146575840E0,-6.989925313E-1,-3.356921005E0
4.186353333E-1,2.205335855E-2,-6.589607388E-1,9.795746827E-1
4.684983333E-1,4.611149347E-1,2.789294359E-1,2.681120285E0
5.183613333E-1,-4.810857197E0,-1.274997945E0,-1.852281559E0
5.682233333E-1,2.368369092E0,1.397596223E0,-1.933601126E0
6.180863333E-1,-4.559057672E0,-3.754468227E0,9.524424326E-1
6.679493333E-1,-2.553979012E0,-1.869240092E0,8.085062027E-1
7.178123333E-1,-2.316631758E0,-7.668295884E0,-2.567020057E0
7.676743333E-1,-1.065389589E0,-3.037229459E0,8.389757511E-1
8.175373333E-1,3.931131030E0,-5.115096306E0,-2.840406041E0
8.674003333E-1,7.666000852E0,-1.907621947E0,2.703040034E0
9.172633333E-1,8.811845790E0,1.358635640E0,3.263316438E0
9.671263333E-1,6.750732093E0,2.336401194E0,2.620224457E0
1.016988333E0,-1.527071704E0,6.966131823E0,6.414705473E0
1.066851333E0,-1.443989201E0,1.003553529E0,7.622558963E-1
1.116714333E0,-5.197987604E-1,9.494960207E-1,8.154573727E-1
1.166577333E0,-3.410807190E0,1.426278570E0,2.292542399E0
1.216440333E0,1.596094576E0,-5.810214472E-1,-1.156778061E-1
1.266302333E0,-3.471433461E-1,-6.509009367E-1,1.084809362E0
1.316165333E0,-2.940857112E-3,-4.579550993E-1,-3.615777461E-1
1.366028333E0,-4.923028135E-1,-6.605722314E-1,8.391000044E-1
1.415891500E0,2.967178646E0,7.037141579E-1,8.009539390E-1
1.465753500E0,4.267979184E-1,-4.326986361E-1,7.658273757E-1
1.515616500E0,-1.802877118E0,-3.709871221E-1,-7.060004193E-1
1.565479500E0,-3.296524237E-1,4.899756217E-1,-1.903830758E-1
1.615342500E0,1.764125428E-1,9.840858096E-1,2.700793827E-1
1.665205500E0,2.344365541E0,-1.032913569E0,9.639994544E-1
1.715068500E0,4.578798895E-1,8.563358420E-1,3.317844282E-1
1.764930500E0,4.870022760E-1,5.178756112E-1,-3.389780018E0
1.814793500E0,1.207342882E0,-1.688350191E0,1.806810102E0
1.864656500E0,8.444825126E-1,7.265668309E-1,6.771763358E0
1.914519500E0,-3.317292085E-1,-2.503014096E0,1.184183230E-1
1.964382500E0,2.761245266E-2,6.805404729E-1,1.282617597E0
2.014245500E0,-1.890567081E-1,8.257402861E-1,2.869122740E-1
2.064107500E0,-7.395821482E-2,8.262302828E-1,2.186741710E-2
2.113970500E0,-3.881089389E-4,1.709177388E0,5.313954701E-1
2.163833500E0,6.549548844E-1,2.730033998E0,-2.542508237E-1
2.213696500E0,1.674394970E-1,1.523476251E0,8.312952872E-1
2.263559500E0,3.394339092E0,-1.416763980E1,-4.167720485E0
2.313422500E0,8.212325214E-1,3.753542905E0,7.900188271E0
2.363285500E0,-1.282636747E0,3.848257273E-1,-1.387187156E0
2.413148500E0,2.095735645E-1,5.992998433E-1,-4.093540661E-1
2.463009958E0,-1.465188720E0,6.662142098E-2,3.030046155E-1
2.512872958E0,-5.731183505E-1,1.703445947E-1,1.856293918E0
2.562735958E0,2.339249958E0,1.837002200E0,8.502822196E-1
2.612598958E0,1.517856492E0,1.096908420E0,5.936409811E-1
2.662461958E0,-1.445569996E0,-1.735336077E0,1.495785007E0
2.712324958E0,-4.585747580E-1,-1.969860295E0,1.951801754E0
2.762187958E0,-1.090768917E0,1.493067806E0,-9.511069286E-1
2.812050958E0,-3.337896942E-1,-9.828561401E-1,1.421888480E0
2.861913958E0,2.173636930E0,4.525043249E-1,-1.585723954E0
2.911776958E0,-7.027610618E-1,2.511788428E-1,-1.129331231E-1
2.961639958E0,-1.024449139E0,2.457526267E-2,-3.207571642E-1
3.011502958E0,-7.552583141E-1,6.096891761E-3,7.302061379E-2
3.061365958E0,-6.056235339E-1,-2.512764913E-1,-4.642069423E-1
3.111228958E0,9.572599171E-2,2.677627158E-1,-4.687619233E-1
3.161091958E0,-1.494105029E-1,-4.688239038E-2,-7.188801725E-2
3.210954958E0,-8.232354851E-1,-2.724241161E-1,-6.222957730E-2
3.260817958E0,-5.501208493E-1,2.434195876E-2,-3.429427063E-1
3.310680958E0,-1.056046396E0,6.440474153E-2,-3.658368945E-1
3.360543958E0,-5.615267571E-1,-2.971344495E-1,3.637962162E-1
3.410406958E0,-1.925780110E-1,1.460634470E-3,-2.626803525E-1
3.460270583E0,-2.332840971E-1,3.155672121E-1,-1.755778345E-1
3.510133583E0,5.122959056E-1,-2.241968662E-1,1.363723083E-1
3.559996583E0,2.725670075E-1,3.638225287E-1,1.461429691E-1
3.609859583E0,3.309925690E-1,-3.208302909E-1,1.558268938E0
3.659722583E0,9.178520590E-1,7.571968853E-2,-3.146831496E-1
3.709585583E0,-4.901720881E-2,5.515035331E-2,-1.173301562E-1
3.759448583E0,-3.677171763E-1,-1.022321337E-1,3.820886092E-1
3.809311583E0,-3.260401601E-1,-3.562650025E-2,4.284141619E-2
3.859174583E0,-2.605836872E-1,2.093554634E-1,-4.119924394E-1
3.909037583E0,-4.345800508E-1,-1.710380745E-1,-4.487036347E-2
3.958900583E0,-5.870740463E-1,-1.916191041E-1,-6.372260535E-1
4.008763583E0,-3.185835348E-1,1.016544288E-1,-7.135275400E-1
4.058626583E0,-4.392843916E-1,5.678172648E-2,-4.603372185E-1
4.108489583E0,5.725814299E-1,-2.572540998E-1,2.427857677E-1
4.158352583E0,5.375975021E-1,8.879289329E-2,-9.775480378E-1
4.208215583E0,4.944773930E-1,8.006592393E-2,3.249017072E-1
4.258078583E0,-4.205931455E-2,-9.541895807E-2,-6.223963451E-1
4.307941583E0,-7.465143878E-1,3.069174260E-1,-2.237051153E-1
4.357804583E0,9.239192761E-2,-7.653888345E-2,7.540586847E-1
4.407667583E0,-1.211724932E0,2.208534282E-1,-8.758678812E-1
4.457529958E0,-6.420608237E-2,-4.102991223E-3,4.376594138E-1
4.507393958E0,-3.259678008E-1,1.408407140E-1,-2.694741958E-1
4.557256958E0,5.603364833E-2,3.182388049E-1,-4.209001243E-2
4.607119958E0,-7.165220453E-1,3.580133200E-1,2.150262393E-2
4.656982958E0,-6.387485223E-1,-4.302439749E-2,-3.658601372E-1
4.706845958E0,-4.372528861E-1,-9.261270386E-1,2.160826850E0
4.756708958E0,2.132372983E0,1.602879685E-1,8.202139364E-1
4.806571958E0,9.104074571E-1,-4.305708343E-1,1.606556268E0
4.856434958E0,1.179858556E0,1.248286402E0,5.601636980E-1
4.906297958E0,1.037755721E0,6.175525117E-1,-1.362927496E-2
4.956160958E0,5.381824064E-1,8.723490268E-1,-4.223929185E-1
5.006023958E0,-5.917915799E-2,5.484758449E-1,-1.400109941E-1
5.055886958E0,-6.898590343E-1,4.738232732E-2,5.010929328E-1
5.105749958E0,-1.110236344E0,-1.955858552E-1,5.751280385E-1
5.155612958E0,-6.156882001E-1,2.990090668E-2,1.433161912E0
5.205475958E0,1.617515266E0,-5.054046696E-1,1.613246214E0
5.255338958E0,1.410480562E0,6.599272835E-1,-4.233974701E-1
5.305201958E0,-3.697577450E-1,1.666427225E-1,-3.900151312E-2
5.355064958E0,-2.815647029E-1,-1.109468240E-1,2.625838369E-1
5.404927958E0,6.029715293E-1,1.778898418E-2,1.064055254E0
5.454791250E0,-1.848673973E-2,4.128485084E-2,-2.939447933E-1
5.504654250E0,-9.088871811E-2,-2.079152942E-2,-1.582380809E-2
5.554517250E0,1.340069634E-1,-6.619340479E-2,3.004889971E-1
5.604380250E0,-1.942775407E-1,6.896966279E-2,2.306662256E-1
5.654243250E0,-5.915003154E-2,2.974010825E-2,-2.084135135E-1
5.704106250E0,6.576758131E-2,7.125007689E-2,1.799463075E-1
5.753969250E0,2.691573133E-1,4.086619020E-3,2.511215401E-1
5.803832250E0,-3.499978837E-2,4.329570830E-2,-1.226570793E-1
5.853695250E0,-3.640832049E-1,4.839097202E-2,1.889709733E-1
5.903558250E0,-3.057702023E-1,8.078513145E-3,-2.184117772E-2
5.953421250E0,-1.129458043E-1,-4.414764762E-2,4.349962994E-4
6.003284250E0,-3.557212114E-2,-5.346109271E-3,3.504002452E-2
6.053147250E0,-4.829975545E-2,6.969822586E-2,-1.841785222E-1
6.103010250E0,1.358188694E-1,7.802758455E-2,2.186677390E-1
6.152873250E0,6.604874468E-1,1.709199607E-2,-8.617801845E-2
6.202736250E0,1.050508206E-1,5.775236428E-2,3.984062511E-2
6.252600250E0,2.570983081E-1,2.062780738E-2,3.651077102E-1
6.302463250E0,5.838408284E-2,7.178334296E-2,-1.949976254E-1
6.352326250E0,-4.234308723E-2,-2.505765796E-2,1.269254919E-1
6.402189250E0,2.181827490E-1,2.048630476E-2,-1.431848627E-1
6.452051750E0,9.377866790E-2,-2.224339306E-2,2.846448151E-1
6.501914750E0,-5.008396022E-3,8.885955155E-2,-6.805808187E-2
6.551777750E0,2.469642428E-1,5.090585947E-3,2.083047187E-1
6.601640750E0,4.067217227E-2,8.531789303E-2,-8.417008460E-2
6.651503750E0,-1.604642621E-1,-3.567210853E-2,2.396721071E-1
6.701366750E0,2.417954504E-1,6.437199712E-2,-1.471099159E-2
6.751229750E0,1.762195846E-1,4.502005219E-2,6.506178584E-3
6.801092750E0,-5.789087020E-2,3.528736174E-2,2.226514288E-1
