"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.477416900E-2,1.597508192E0,6.884748936E0,7.798209190E0
1.247741690E-1,3.571287692E-1,6.580860615E0,5.150251865E0
1.747741690E-1,6.780661345E-1,6.157031536E0,5.593223095E0
2.247741690E-1,2.643769979E0,6.080461502E0,7.903493404E0
2.747741690E-1,8.647062778E-1,5.694917679E0,7.443772316E0
3.247741690E-1,-5.835496187E-1,3.439682484E0,9.447761536E0
3.747741690E-1,1.762612939E0,4.940879822E0,7.922635555E0
4.247741690E-1,4.968397141E0,6.137889385E0,7.651947498E0
4.747741690E-1,5.114359379E0,5.726024628E0,8.571390152E0
5.247741690E-1,2.825624466E0,2.352742910E0,6.519544601E0
5.747741690E-1,7.067800164E-1,1.429711580E-1,3.469592810E0
6.247741690E-1,7.881359458E-1,-2.270190477E0,4.269094467E0
6.747741690E-1,5.001896858E0,-3.567698479E0,5.375176907E0
7.247741690E-1,5.839683533E0,-3.064906597E0,8.037490845E0
7.747741690E-1,9.957731247E0,-3.397808075E0,8.173882484E0
8.247741690E-1,1.219621658E1,-4.245465755E0,9.191430092E0
8.747741690E-1,1.306989670E1,-3.431307554E0,1.080987549E1
9.247741690E-1,1.222971630E1,-4.396213531E0,1.001515961E1
9.747741690E-1,1.175085258E1,-1.597508192E0,1.026640511E1
1.024774169E0,8.830113411E0,-2.756232500E0,8.059026718E0
1.074774169E0,5.720042706E0,-5.205286503E0,3.867100477E0
1.124774169E0,6.632306099E0,-5.846862316E0,3.847957850E0
1.174774169E0,8.449356079E0,-6.433403015E0,3.127120018E0
1.224774169E0,1.006301594E1,-3.498306751E0,3.237488985E0
1.274774169E0,9.236893654E0,-5.181358337E0,-1.373779297E0
1.324774169E0,7.034300327E0,-4.211966038E0,-6.481558084E-1
1.374774169E0,1.160489082E1,-3.840779543E0,-1.150947690E0
1.424774169E0,6.792625427E0,-3.201596737E0,3.725624800E0
1.474774169E0,8.533104897E0,-3.187239647E0,-2.629113793E-1
1.524774169E0,8.494819641E0,-2.071586132E0,-5.443671346E-2
1.574774169E0,5.250750065E0,-2.916551590E0,-1.238285750E-1
1.624774169E0,7.553842068E0,-4.015455723E0,7.776673418E-3
1.674774169E0,1.282582855E1,-8.930612564E0,1.733899117E0
1.724774169E0,8.921041489E0,-7.472486019E0,2.083251238E0
1.774774169E0,9.167501450E0,-6.706483841E0,1.776670814E-1
1.824774169E0,6.759125710E0,-3.941277981E0,5.153541565E-1
1.874774169E0,6.902695179E0,-4.515854359E0,1.300499082E0
1.924774169E0,8.114061356E0,-7.115955353E0,-3.227319419E-1
1.974774169E0,5.978467464E0,-6.936194420E0,7.067800164E-1
2.024774169E0,6.091228962E0,-8.657531738E0,7.187440991E-1
2.074774169E0,7.098906517E0,-5.945266724E0,2.468794823E0
2.124774169E0,1.101326561E1,-7.025028229E0,1.377069473E0
2.174774169E0,1.065912724E1,-1.382184124E1,1.690828323E0
2.224774169E0,4.858027935E0,-1.409462261E1,-4.083950043E0
2.274774169E0,6.696912289E0,-9.864411354E0,-8.279166222E-1
2.324774169E0,1.566401482E0,-9.926624298E0,2.222334146E0
2.374774169E0,1.788933992E0,-9.045467377E0,1.571187139E0
2.424774169E0,3.230310678E0,-6.356832504E0,-2.102692872E-1
2.474774169E0,4.850849628E0,-5.420939922E0,1.688435435E0
2.524774169E0,3.335594654E0,-4.546961308E0,2.063809484E-1
2.574774169E0,5.485546112E0,-3.694817305E0,3.641875982E0
2.624774169E0,1.060169983E1,-5.612365723E0,8.659924507E0
2.674774169E0,1.200209904E1,-7.230811119E0,5.933003902E0
2.724774169E0,-2.123031855E0,-1.301964664E1,-1.208016491E1
2.774774169E0,6.615556240E0,-7.338488102E0,-2.479861498E0
2.824774169E0,6.081657887E0,-1.063998508E1,-4.962415218E0
2.874774169E0,4.659423828E0,-8.887541771E0,-1.567597985E0
2.924774169E0,5.607579708E0,-8.267500877E0,9.947860718E0
2.974774169E0,3.900599957E0,-6.570092678E0,2.511865616E0
3.024774169E0,1.674078584E0,-4.231108665E0,-6.912266612E-1
3.074774169E0,6.411867142E0,-1.003430176E1,-9.523434043E-1
3.124774169E0,1.554437399E0,-1.020419216E1,9.942178130E-1
3.174774169E0,5.755934715E0,-8.578568459E0,9.289535522E0
3.224774169E0,5.126323223E0,-1.394626808E1,1.523031592E0
3.274774169E0,6.302096844E-1,-9.476474762E0,-1.727917075E0
3.324774169E0,2.696412086E0,-1.792762566E1,1.264606714E0
3.374774169E0,3.223132133E0,-1.639292908E1,6.021837234E0
3.424774169E0,-8.315058798E-2,-1.523181152E1,-1.941177368E0
3.474774169E0,1.482353687E0,-1.178674507E1,-2.860320330E0
3.524774169E0,-2.850749016E0,1.016949654E0,-3.030509949E0
3.574774169E0,-1.055234790E0,6.696912646E-1,1.322034478E0
3.624774169E0,1.058255768E1,-8.554341197E-1,-6.577271223E-1
3.674774169E0,-4.502694130E0,-2.471187592E0,3.864707708E0
3.724774169E0,1.404676628E1,-1.968006897E1,-7.373183727E0
3.774774169E0,6.320940018E0,-1.301007557E1,3.124727249E0
3.824774169E0,5.150251865E0,-1.735783386E1,1.015753269E0
3.874774169E0,5.272285461E0,-1.701296806E1,5.177469850E-1
3.924774169E0,1.913360834E0,-7.817351341E0,2.918944597E0
3.974774169E0,-1.040877819E0,-9.463613629E-1,1.123370457E1
4.024774169E0,1.025324464E0,-1.111466169E0,4.794618487E-1
4.074774169E0,-6.400800496E-2,-2.121835470E0,3.062513828E0
4.124774169E0,4.276273251E0,-1.594995785E1,-2.261815548E0
4.174774169E0,7.118348122E0,-2.156411743E1,2.277369022E0
4.224774169E0,-1.668993831E-1,-2.000339890E1,2.985943556E0
4.274774169E0,1.073569775E1,-1.350568962E1,1.841576099E0
4.324774169E0,5.018646240E0,-4.872684002E0,3.163012505E0
4.374774169E0,1.338784218E0,-1.185643673E0,5.560321808E-1
4.424774169E0,-1.457528114E0,1.428814173E0,-2.533400953E-1
4.474774169E0,5.942574978E0,2.982354403E0,1.486780357E1
4.524774169E0,4.115953922E0,-8.257929802E0,-7.031010151E0
4.574774169E0,1.729113460E0,-1.582074547E1,-3.710370541E0
4.624774169E0,1.391994667E1,-1.737458420E1,1.440090370E1
4.674774169E0,1.122173977E1,-8.887541771E0,-3.262613773E0
4.724774169E0,4.566103935E0,-2.146122551E1,-8.970093727E0
4.774774169E0,-1.890928149E0,-2.581377029E1,2.928755188E1
4.824774169E0,3.826422453E0,1.919342875E0,1.135334492E1
4.874774169E0,5.284249783E0,-2.928216755E-1,1.027717352E0
4.924774169E0,6.802196503E0,1.201765251E1,-3.755834341E0
4.974774169E0,6.466902256E0,-3.302095175E0,5.976074696E0
5.024774169E0,1.391276836E1,-2.835644341E1,4.764708042E0
5.074774169E0,8.523533821E0,-4.064029694E1,7.338488102E0
5.124774169E0,4.793421745E0,-8.200502396E0,-4.304089546E0
5.174774169E0,8.466105461E0,1.713560104E0,-8.901300430E-1
5.224774169E0,-2.796611488E-1,1.397408366E0,-5.793322563E0
5.274774169E0,-2.175673962E0,4.806881428E0,-6.454041004E0
5.324774169E0,2.301297188E0,3.030210733E0,3.559832001E1
5.374774169E0,3.859921932E0,-3.943670750E0,-1.180708408E1
5.424774169E0,-3.473181963E0,-2.724557686E1,-6.037390709E0
5.474774169E0,8.396714211E0,-1.663729668E1,-4.739882469E0
5.524774169E0,1.932323837E1,-2.374756813E1,-8.761918068E0
5.574774169E0,1.887308884E1,-1.266790199E1,3.946482468E1
5.624774169E0,7.737790346E-1,-5.131109238E0,-1.671984792E-1
5.674774169E0,7.666005492E-1,5.239982605E0,8.008777618E0
5.724774169E0,6.720840454E0,3.658027649E-1,1.025204849E1
5.774774169E0,-7.127620578E-1,-7.633104324E0,-5.907281041E-1
5.824774169E0,1.095823002E1,-1.771466446E1,-8.015955687E-1
5.874774169E0,1.414247894E1,-3.910829163E1,2.389831543E0
5.924774169E0,4.546961308E0,-1.704646873E1,1.250249892E-1
5.974774169E0,2.071586132E0,-2.002194405E0,-2.811566554E-2
6.024774169E0,-2.024926186E0,-2.398804724E-1,-5.046164036E0
6.074774169E0,-2.680858612E0,6.816553473E-1,-2.853141785E0
6.124774169E0,7.824530125E0,6.027819157E0,4.582853794E0
6.174774169E0,9.818648338E0,-7.455736160E0,4.453640938E0
6.224774169E0,1.989931107E0,-2.270848465E1,-3.456432343E0
6.274774169E0,5.248357296E0,-1.023769188E1,-5.022235394E0
6.324774169E0,6.308976173E0,-1.672583008E1,-2.319243431E0
6.374774169E0,2.117049932E0,-2.107837486E1,3.326651764E1
6.424774169E0,1.410568953E0,-8.037490845E0,5.827719688E0
6.474774169E0,-4.191627026E0,-7.378866673E-1,2.842374086E0
6.524774169E0,2.270190477E0,-1.846361756E0,7.680661678E0
6.574774169E0,-5.541777134E0,-6.088836193E0,1.200000525E0
6.624774169E0,2.308475733E0,-2.036710739E1,5.177469850E-1
6.674774169E0,7.750352383E0,-2.191137695E1,2.080858469E0
6.724774169E0,4.627120793E-1,-2.172952080E1,9.498010635E0
6.774774169E0,1.597508192E0,-1.025922680E1,1.049252748E0
6.824774169E0,5.023432255E0,7.821539044E-1,-1.014556766E0
6.874774169E0,-7.597211748E-2,1.119840980E0,-2.685644388E0
6.924774169E0,4.218845367E0,4.955236435E0,7.761718631E-1
6.974774169E0,1.041236782E1,-5.842076302E0,8.183453560E0
7.024774169E0,-3.403790236E0,-1.468116379E1,2.552543640E0
