"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.607182600E-2,1.355420017E1,-4.821439743E1,-2.531499863E1
1.460718260E-1,1.379819965E1,-4.801919937E1,-2.519299889E1
1.960718260E-1,1.346879959E1,-4.784840012E1,-2.544919968E1
2.460718260E-1,1.327359962E1,-4.744580078E1,-2.597379875E1
2.960718260E-1,1.304179955E1,-4.703099823E1,-2.670579910E1
3.460718260E-1,1.278559971E1,-4.650639725E1,-2.742560005E1
3.960727090E-1,1.217560005E1,-4.596960068E1,-2.818199921E1
4.460727090E-1,1.115079975E1,-4.540839767E1,-2.876759911E1
4.960727090E-1,9.881999969E0,-4.461539841E1,-2.954839897E1
5.460727090E-1,8.686399460E0,-4.390779877E1,-3.037800026E1
5.960727090E-1,7.710399628E0,-4.301720047E1,-3.139060020E1
6.460727090E-1,6.514800072E0,-4.156539917E1,-3.286679840E1
6.960727090E-1,4.892199993E0,-3.916199875E1,-3.463579941E1
7.460727090E-1,2.732800007E0,-3.566059875E1,-3.657559967E1
7.960727090E-1,3.294000030E-1,-3.106119919E1,-3.832019806E1
8.460727090E-1,-2.122799873E0,-2.522959900E1,-3.984519958E1
8.960727090E-1,-4.904399872E0,-1.822679901E1,-4.115060043E1
9.460727090E-1,-8.234999657E0,-1.040660000E1,-4.201679993E1
9.960727090E-1,-1.210239983E1,-2.464400053E0,-4.195579910E1
1.046072709E0,-1.618939972E1,4.697000027E0,-4.072359848E1
1.096072709E0,-2.025199890E1,1.068719959E1,-3.847879791E1
1.146072709E0,-2.399740028E1,1.528660011E1,-3.547760010E1
1.196072709E0,-2.737679863E1,1.851959991E1,-3.209819794E1
1.246072709E0,-3.035359955E1,2.039839935E1,-2.846259880E1
1.296072709E0,-3.312300110E1,2.103279877E1,-2.481480026E1
1.346072709E0,-3.556299973E1,2.083759880E1,-2.147200012E1
1.396073125E0,-3.752719879E1,2.026420021E1,-1.871479988E1
1.446073125E0,-3.917419815E1,1.955660057E1,-1.631139946E1
1.496073125E0,-4.024779892E1,1.878800011E1,-1.459119987E1
1.546073125E0,-4.100419998E1,1.816580009E1,-1.343219948E1
1.596073125E0,-4.135799789E1,1.781200027E1,-1.287099934E1
1.646073125E0,-4.129700089E1,1.806819916E1,-1.290759945E1
1.696073125E0,-4.085779953E1,1.883679962E1,-1.345660019E1
1.746073125E0,-4.043079758E1,1.958099937E1,-1.399339962E1
1.796073125E0,-4.010139847E1,2.038619995E1,-1.451799965E1
1.846073125E0,-3.961339951E1,2.198439980E1,-1.482299995E1
1.896073125E0,-3.899119949E1,2.448539925E1,-1.465219975E1
1.946073125E0,-3.808839798E1,2.737679863E1,-1.432279968E1
1.996073125E0,-3.730759811E1,3.029259872E1,-1.346879959E1
2.046073125E0,-3.680739975E1,3.272039795E1,-1.196819973E1
2.096073125E0,-3.640480042E1,3.481879807E1,-1.017479992E1
2.146073125E0,-3.578260040E1,3.719779968E1,-8.491199493E0
2.196073125E0,-3.501399994E1,3.936940002E1,-7.490799904E0
2.246073125E0,-3.428199768E1,4.056499863E1,-7.588399887E0
2.296073125E0,-3.372079849E1,4.082119751E1,-8.369199753E0
2.346073125E0,-3.330599976E1,4.044300079E1,-9.723400116E0
2.396073125E0,-3.290340042E1,3.963779831E1,-1.162659931E1
2.446073125E0,-3.246419907E1,3.843000031E1,-1.413980007E1
2.496073125E0,-3.229339981E1,3.694160080E1,-1.673839951E1
2.546073125E0,-3.235440063E1,3.522140121E1,-1.937360001E1
2.596073125E0,-3.228120041E1,3.392819977E1,-2.127680016E1
2.646073125E0,-3.208599854E1,3.328160095E1,-2.239920044E1
2.696073125E0,-3.220800018E1,3.261059952E1,-2.292379951E1
2.746073125E0,-3.267160034E1,3.173219872E1,-2.300919914E1
2.796073125E0,-3.309859848E1,3.139060020E1,-2.271640015E1
2.846073125E0,-3.262279892E1,3.187859917E1,-2.286279869E1
2.896073125E0,-3.162240028E1,3.320840073E1,-2.288719940E1
2.946073125E0,-3.078059959E1,3.512379837E1,-2.189900017E1
2.996073125E0,-3.019499969E1,3.705139923E1,-2.032519913E1
3.046073125E0,-2.954839897E1,3.905220032E1,-1.833659935E1
3.096073125E0,-2.832839966E1,4.152880096E1,-1.616499901E1
3.146073125E0,-2.665699959E1,4.457880020E1,-1.356639957E1
3.196073125E0,-2.474160004E1,4.751899719E1,-1.079699993E1
3.246073125E0,-2.339959908E1,4.991019821E1,-8.076399803E0
3.296073125E0,-2.236260033E1,5.159379959E1,-6.063399792E0
3.346073125E0,-2.103279877E1,5.249659729E1,-5.831599712E0
3.396071978E0,-1.970299911E1,5.245999908E1,-7.454199791E0
3.446071978E0,-1.905640030E1,5.116679764E1,-1.022359943E1
3.496071978E0,-1.964200020E1,4.919039917E1,-1.278559971E1
3.546071978E0,-2.109379959E1,4.711639786E1,-1.483519936E1
3.596071978E0,-2.275300026E1,4.522539902E1,-1.682379913E1
3.646071978E0,-2.453419876E1,4.351739883E1,-1.817799950E1
3.696071978E0,-2.673019981E1,4.172399902E1,-1.843420029E1
3.746071978E0,-2.874320030E1,4.021120071E1,-1.844639969E1
3.796071978E0,-3.030480003E1,3.883259964E1,-1.849519920E1
3.846071978E0,-2.948740005E1,3.874720001E1,-1.916619873E1
3.896071978E0,-2.710840034E1,3.978419876E1,-2.017879868E1
3.946071978E0,-2.460739899E1,4.143119812E1,-2.069120026E1
3.996071978E0,-2.300919914E1,4.300500107E1,-2.009339905E1
4.046071978E0,-2.195999908E1,4.432259750E1,-1.882460022E1
4.096071978E0,-2.804780006E1,3.575819778E1,-2.242359924E1
4.146071978E0,-2.633979988E1,3.731979752E1,-2.205760002E1
4.196071978E0,-2.543700027E1,3.893019867E1,-2.095960045E1
4.246071978E0,-2.714499855E1,3.944260025E1,-1.888559914E1
4.296071978E0,-2.988999939E1,3.932059860E1,-1.607959938E1
4.346071978E0,-3.278139877E1,3.744179916E1,-1.520119953E1
4.396071978E0,-3.470899963E1,3.518479919E1,-1.603079987E1
4.446071978E0,-3.552639771E1,3.347679901E1,-1.814139938E1
4.496071978E0,-3.606319809E1,3.204940033E1,-2.031299973E1
4.546071978E0,-3.703919983E1,3.019499969E1,-2.220400047E1
4.596071978E0,-3.810059738E1,2.918239975E1,-2.233819962E1
4.646071978E0,-3.822259903E1,2.936540031E1,-2.182579994E1
4.696071978E0,-3.730759811E1,2.996319962E1,-2.254559898E1
4.746071978E0,-3.692939758E1,3.073180008E1,-2.227719879E1
4.796071978E0,-3.710020065E1,3.176879883E1,-1.978839874E1
4.846071978E0,-3.752719879E1,3.274480057E1,-1.655539894E1
4.896071978E0,-3.620959854E1,3.478219986E1,-1.244399929E1
4.946071978E0,-3.611199951E1,3.630719757E1,-9.625800133E0
4.996071978E0,-3.535559845E1,3.747840118E1,-8.430199623E0
5.046072030E0,-3.492860031E1,3.735639954E1,-9.101200104E0
5.096072030E0,-3.490419769E1,3.634379959E1,-1.029679966E1
5.146072030E0,-3.501399994E1,3.447719955E1,-1.189499950E1
5.196072030E0,-3.470899963E1,3.240319824E1,-1.540859985E1
5.246072030E0,-3.467239761E1,3.023159981E1,-1.921500015E1
5.296072030E0,-3.486759949E1,2.892619896E1,-2.241139984E1
5.346072030E0,-3.530680084E1,2.698639870E1,-2.510759926E1
5.396072030E0,-3.612419891E1,2.413159943E1,-2.776719856E1
5.446072030E0,-3.802740097E1,2.195999908E1,-2.679119873E1
5.496072082E0,-3.902779770E1,2.225279999E1,-2.514419937E1
5.546072082E0,-3.830799866E1,2.491239929E1,-2.324099922E1
5.596072082E0,-3.749060059E1,2.804780006E1,-1.991040039E1
5.646072082E0,-3.707579803E1,3.063419914E1,-1.594539928E1
5.696072082E0,-3.692939758E1,3.158580017E1,-1.205359936E1
5.746072082E0,-3.712459946E1,3.322060013E1,-8.527799606E0
5.796072082E0,-3.707579803E1,3.536779785E1,-6.014599800E0
5.846072082E0,-3.539220047E1,3.730759811E1,-7.075999737E0
5.896072082E0,-3.186639977E1,3.666099930E1,-9.333000183E0
5.946072082E0,-3.075619888E1,3.461140060E1,-1.268799973E1
5.996072082E0,-3.013399887E1,3.150039864E1,-1.765340042E1
6.046072082E0,-2.953619957E1,2.847480011E1,-2.286279869E1
6.096072082E0,-2.937759972E1,2.648620033E1,-2.781599998E1
6.146072082E0,-2.899939919E1,2.516860008E1,-3.126859856E1
6.196072082E0,-2.825519943E1,2.392420006E1,-3.407460022E1
6.246072082E0,-2.807219887E1,2.270419884E1,-3.562400055E1
6.296072082E0,-2.777939987E1,2.250899887E1,-3.605099869E1
6.346072082E0,-2.674239922E1,2.448539925E1,-3.479439926E1
6.396072082E0,-2.531499863E1,2.803559875E1,-3.176879883E1
6.446072082E0,-2.419260025E1,3.169559860E1,-2.832839966E1
6.496072082E0,-2.237479973E1,3.439179993E1,-2.503439903E1
6.546072082E0,-2.106939888E1,3.636819839E1,-2.324099922E1
6.596072082E0,-1.977619934E1,3.841780090E1,-2.178919983E1
6.646072082E0,-1.753139877E1,4.040639877E1,-2.138660049E1
6.696072082E0,-1.607959938E1,4.158979797E1,-2.100839996E1
6.746072082E0,-1.629920006E1,4.018679810E1,-2.241139984E1
6.796072082E0,-1.731180000E1,3.720999908E1,-2.531499863E1
6.846072082E0,-1.801939964E1,3.428199768E1,-2.870660019E1
6.896072082E0,-1.801939964E1,3.182979965E1,-3.185419846E1
6.946072082E0,-1.871479988E1,3.004859924E1,-3.413560104E1
6.996072082E0,-1.938579941E1,2.832839966E1,-3.588019943E1
7.046072082E0,-2.100839996E1,2.642519951E1,-3.667319870E1
7.096072082E0,-2.326539993E1,2.530279922E1,-3.616080093E1
7.146072082E0,-2.466839981E1,2.647399902E1,-3.457479858E1
7.196072082E0,-2.396080017E1,2.915799904E1,-3.207379913E1
7.246072082E0,-2.318000031E1,3.219580078E1,-2.848699951E1
7.296072082E0,-2.278960037E1,3.464799881E1,-2.485140038E1
7.346072082E0,-2.261879921E1,3.645359802E1,-2.202099991E1
7.396072082E0,-2.281399918E1,3.885699844E1,-1.883679962E1
7.446072082E0,-2.214299965E1,4.133359909E1,-1.633580017E1
7.496072082E0,-2.020319939E1,4.337099838E1,-1.557940006E1
7.546072082E0,-1.723859978E1,4.337099838E1,-1.617720032E1
7.596072082E0,-1.634799957E1,4.180939865E1,-1.873920059E1
7.646072082E0,-1.636019897E1,3.910099792E1,-2.264319992E1
7.696072082E0,-1.612839890E1,3.636819839E1,-2.696199989E1
7.746072082E0,-1.570139980E1,3.452600098E1,-3.032919884E1
7.796072082E0,-1.572579956E1,3.301319885E1,-3.296440125E1
