Time window,Time (s)_acc,Time (s)_gyro,Time (s)_mag,Time (s)_lin_acc,Time (s)_prox,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Distance (cm)
0.03,,0.050233960999999994,,,,,,,-0.36131614450000005,0.37139514090000003,-0.26785650850000003,,,,,,,
0.06,0.074774169,,,,,1.5975081919999998,6.884748936,7.79820919,,,,,,,,,,
0.09,,0.101033076,0.096071826,0.108557346,,,,,-0.08353336155,0.1009425074,-0.2370087355,13.55420017,-48.21439743,-25.31499863,-0.8635733128,-0.2975873947,-0.8192048073,
0.12,0.124774169,,0.146071826,,,0.35712876920000003,6.580860615,5.150251865,,,,13.79819965,-48.01919937,-25.19299889,,,,
0.15,0.17477416899999998,0.15183286699999998,,0.158557346,,0.6780661345000001,6.157031536,5.593223095,-0.3503209054,-0.9481876493000001,-0.1409530044,,,,-0.08999872207999998,-0.2463288307,-1.255064964,
0.18,,0.20263187800000002,0.196071826,0.208557346,,,,,-0.6462764143999999,-1.188097954,-0.2386885732,13.46879959,-47.84840012,-25.44919968,0.2902002335,0.31483459469999997,0.4438166618,
0.21,0.224774169,,,,,2.643769979,6.080461502,7.903493404,,,,,,,,,,
0.24,,0.253430159,0.24607182600000002,0.258557346,,,,,-0.6398624778,-0.5236487985,-0.2348707765,13.27359962,-47.44580078,-25.97379875,-0.41793131829999997,-0.4083957672,1.198934555,
0.27,0.274774169,,0.29607182600000004,,,0.8647062778,5.694917679,7.4437723160000004,,,,13.04179955,-47.03099823,-26.7057991,,,,
0.3,0.324774169,0.304229274,,0.308557346,,-0.5835496187,3.4396824839999995,9.447761536,-0.8394568563,-0.273812294,0.054823540149999996,,,,-1.372716904,-1.449603081,2.079062462,
0.32999999999999996,,0.355029117,0.346071826,0.358557346,,,,,-0.7962393761,-1.169161677,0.4104893506,12.78559971,-46.50639725,-27.42560005,-0.5735239387,-1.712581158,-0.18972969059999997,
0.36,0.374774169,,,,,1.762612939,4.940879822,7.922635555,,,,,,,,,,
0.39,,0.405829011,0.39607270899999997,0.408557346,0.39817682299999996,,,,-0.3341334462,-2.599766016,0.565339148,12.17560005,-45.96960068,-28.18199921,1.625590324,0.3110146523,0.06327295303,5.0
0.42,0.424774169,,0.446072709,,,4.9683971410000005,6.137889385,7.651947497999999,,,,11.15079975,-45.40839767,-28.76759911,,,,
0.44999999999999996,0.47477416899999997,0.456627344,,0.45855734600000003,,5.114359379,5.726024627999999,8.571390152000001,0.173480615,-0.7693621516,-0.2719797492,,,,0.9749035835,2.195037842,0.16464900970000002,
0.48,,0.5074264589999999,0.496072709,0.508557346,,,,,0.2316638231,0.4182776511,-0.4375193417,9.881999968999999,-44.61539841,-29.54839897,-0.6631157397999999,-1.795904398,0.4249696732,
