"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.324229500E-2,2.015796006E-1,-3.649812341E-1,-7.146912813E-1
1.050108890E-1,1.142284349E-1,-5.624375939E-1,-4.417952895E-1
1.558110450E-1,1.230857223E-1,-4.611896873E-1,-2.559449971E-1
2.066120870E-1,4.459185153E-2,-1.489703774E0,-1.821851879E-1
2.574138580E-1,-6.154286116E-2,-2.340308666E0,-1.630962193E-1
3.082148470E-1,-4.046863019E-1,-1.595533013E0,5.482354015E-2
3.590150040E-1,-1.418692708E0,-7.925743461E-1,1.072036922E-1
4.098156240E-1,-2.158428907E0,6.879667044E-1,-1.020114943E-1
4.606173950E-1,-3.105700254E0,-1.193748236E0,-7.330167294E-1
5.114183850E-1,-1.907828689E0,-8.031114340E-1,-1.692046970E-1
5.622185410E-1,-1.333479524E0,1.221694518E-2,8.773293495E-1
6.130196350E-1,-2.860597610E0,-5.192201585E-3,1.257581830E0
6.638214050E-1,-2.855100155E0,-6.397097707E-1,1.685785770E0
7.146224470E-1,-2.697196007E0,7.774558663E-1,5.963396430E-1
7.654226030E-1,-2.237380743E0,-3.451287150E-1,1.057834744E0
8.162236970E-1,-1.425564766E0,-9.741486907E-1,8.156337738E-1
8.670255200E-1,-8.541171551E-1,-1.105022669E0,1.220167428E-1
9.178265620E-1,2.032594234E-1,-1.752215385E0,-5.344913527E-2
9.686267700E-1,1.522536725E-1,-1.209935665E0,-6.166502833E-1
1.019427812E0,8.383878320E-2,-7.354601026E-1,-9.555178285E-1
1.070229687E0,5.405998230E-2,-6.452074051E-1,-1.128845692E0
1.121030728E0,1.424801201E-1,-7.275190949E-1,-9.518527389E-1
1.171830937E0,-4.521796703E-1,1.702736765E-1,-8.892409205E-1
1.222632030E0,-1.085933685E0,7.870767117E-1,-1.093721986E0
1.273433853E0,-1.251931429E0,1.585148692E0,-4.903576374E-1
1.324234947E0,-3.225273490E-1,7.704311013E-1,-2.797680497E-1
1.375035155E0,3.225273490E-1,2.267770469E-1,5.528167635E-2
1.425836249E0,1.270562261E-1,-8.243383765E-1,1.432436854E-1
1.476638384E0,-3.535278440E-1,-3.871244490E-1,-3.368822634E-1
