"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.137421390E-1,1.267445087E-1,2.373166084E-1,7.481980324E-1
1.637421390E-1,-2.045011520E-1,1.560893059E-1,-1.265532017E0
2.137421390E-1,-6.359589100E-1,-6.874227524E-2,-6.672606468E-1
2.637421390E-1,-5.407147408E-1,-6.170365810E-1,-9.239912033E-2
3.137421390E-1,1.448158264E0,2.566647530E-1,8.040523529E-2
3.637421390E-1,3.779368401E-1,2.885735035E-1,8.738040924E-2
4.137421390E-1,-1.073194265E0,-6.806859970E-1,-2.459344864E-1
4.637421390E-1,6.805000305E-1,-2.929230928E-1,7.717666626E-1
5.137421390E-1,-2.622232437E0,-2.776917934E0,8.636970520E-1
5.637421390E-1,-2.843146801E0,-4.557638645E0,-2.112608433E0
6.137421390E-1,-3.750991821E-2,-3.574329376E0,-1.469793797E0
6.637421390E-1,1.095450401E0,-3.876287699E0,-1.608175278E0
7.137421390E-1,3.661390305E0,-2.286271095E0,2.108110428E0
7.637421390E-1,4.497954369E0,-9.741201401E-1,3.001641750E0
8.137421390E-1,6.416357994E0,1.682215691E0,4.831235409E0
8.637421390E-1,4.592266083E0,3.120881796E0,5.140931606E0
9.137421390E-1,4.114554882E0,4.446653366E0,6.190178871E0
9.637421390E-1,7.216062546E-1,2.673450470E0,2.148721218E0
1.013742139E0,-6.325602531E-1,1.423990250E0,1.630764961E0
1.063742139E0,-1.251085281E0,2.801604271E-1,1.999685287E0
1.113742139E0,-7.732391357E-2,1.079572201E0,1.935167313E0
1.163742139E0,3.159494400E-1,-5.396358967E-1,-1.228940487E0
1.213742139E0,-1.264910698E0,-6.077392101E-1,-1.347292185E0
1.263742139E0,-2.431997299E0,-7.355575562E-1,-1.868884563E0
1.313742139E0,-7.898664474E-2,1.402894974E0,2.389367104E0
1.363742139E0,-5.201420784E-1,1.694547534E0,1.774964333E0
1.413742139E0,2.183573723E0,-6.902379990E-1,2.065148354E0
1.463742139E0,2.633149147E0,-1.532468557E0,4.177384377E-1
1.513742139E0,-2.051353455E-2,-2.634080648E0,-8.880317211E-1
1.563742139E0,1.438388824E-1,-1.108598471E0,-3.907846451E0
1.613742139E0,-1.105845451E0,-1.026756763E0,-3.264565945E0
1.663742139E0,-3.011970520E-1,1.270542622E0,-2.771911621E0
1.713742139E0,1.190304756E0,1.146970272E0,8.856513500E-1
1.763742139E0,-7.832403183E-1,5.103998184E-1,7.260034084E-1
1.813742139E0,-1.565343857E0,4.263103962E0,2.318842649E0
1.863742139E0,1.157621861E0,3.389316559E0,-1.272171617E0
1.913742139E0,-2.899942398E-1,-1.037050247E0,-3.383712530E0
1.963742139E0,2.862148285E-1,1.236800671E0,7.330673933E-1
2.013742139E0,-1.861119032E0,2.778984547E0,-1.713360906E0
2.063742139E0,5.219632149E0,-1.879635811E0,6.001085758E0
2.113742139E0,4.736375809E0,-1.033453083E1,8.992546082E0
2.163742139E0,1.118619919E0,-2.114940643E0,3.131069422E0
