"Time (s)","Distance (cm)"
4.282583850E-1,5.000000000E0
1.227142135E0,0.000000000E0
1.460835885E0,5.000000000E0
1.610570051E0,0.000000000E0
2.635850572E0,5.000000000E0
2.846132447E1,0.000000000E0
2.854393280E1,5.000000000E0
4.861922524E1,0.000000000E0
4.918134321E1,5.000000000E0
4.959558264E1,0.000000000E0
4.968567503E1,5.000000000E0
7.818587882E1,0.000000000E0
7.851867028E1,5.000000000E0
1.150858526E2,0.000000000E0
1.155766525E2,5.000000000E0
1.157765979E2,0.000000000E0
1.163866924E2,5.000000000E0
1.166940471E2,0.000000000E0
1.172107107E2,5.000000000E0
1.313614623E2,0.000000000E0
1.317115912E2,5.000000000E0
1.321017642E2,0.000000000E0
1.325023916E2,5.000000000E0
1.481649157E2,0.000000000E0
1.486768458E2,5.000000000E0
