Time window,Time (s)_acc,Time (s)_gyro,Time (s)_mag,Time (s)_lin_acc,Time (s)_prox,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Distance (cm)
0.06,0.07257995,0.067396408,,,,2.176870346,4.746761799,8.090133667,-0.35429140929999997,0.3119902313,-0.39949411149999997,,,,,,,
0.09,,0.118197346,0.11845151300000001,0.11120328300000001,,,,,-0.242506355,0.00381779531,-0.3330644667,-27.48659897,-12.88319969,-36.79520035,-0.2636671066,-0.1508851051,-0.1213226318,
0.12,0.12257995,,,,,1.7219350340000001,4.586442947,8.056633949,,,,,,,,,,
0.15,0.17257995,0.16899916899999998,0.168451513,0.161203283,,2.049751759,4.603192329,7.21406126,-0.2909159958,-0.3710896969,-0.3038965166,-27.34020042,-12.95639992,-36.61219788,0.04607522488,0.02472114563,-0.3657469749,
0.21,0.22257995,0.219801773,0.218451513,0.21120328300000002,,2.629412889,4.653441906,7.726424217000001,-0.5932853818,-0.8362498879000001,-0.5018110275,-27.63299942,-13.00519943,-36.40480042,0.36213397979999995,0.1803202629,-0.5609827042000001,
0.24,,,0.26845151300000003,0.261203283,,,,,,,,-27.98679924,-12.93200016,-35.94120026,0.6236703396,0.1039433479,1.191352844,
0.27,0.27257995,0.270603492,,,,2.634198666,4.253840446,8.29142952,-0.36559209229999995,-0.6381826997,-0.6219952106000001,,,,,,,
0.3,0.32257995,0.321404533,0.318451513,0.311203283,,2.095514536,4.28255415,8.580961227000001,-0.37612921,-0.8867974877,-0.3446705639,-28.37719917,-12.93200016,-35.56299973,-0.8053059578,-0.05199813843,-0.2572412491,
0.36,0.37257995,0.372206408,0.36845151299999995,0.361203283,,1.7386847730000001,3.425325632,9.730113982999999,-0.1264453828,-0.8869501948,0.08964183182,-28.85299873,-12.88319969,-35.07500076,-1.183288932,-0.6620135307,1.5457773209999999,
0.39,,,0.41845198,0.411203283,0.40957031200000005,,,,,,,-29.43859863,-12.82219982,-34.42839813,0.42943859100000004,0.2199149132,0.987786293,5.0
0.42,0.42257995,0.42300948,,,,3.843172312,4.342374802,8.870791435,0.2370087355,-1.221694469,-0.0282516852,,,,,,,
