"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.727672600E-2,-3.014531136E-1,6.363501549E-1,-1.366770715E-1
1.180826110E-1,-1.068982705E-1,-3.309265077E-1,-3.239017725E-1
1.688877160E-1,-1.673721522E-1,-1.233911440E-1,-6.035171151E-1
2.196936530E-1,-7.747070193E-1,-1.382347345E0,-6.620057225E-1
2.705003720E-1,-1.011715770E0,-8.075400591E-1,-9.324583411E-1
3.213062050E-1,-2.903051674E-1,1.214058921E-1,-7.925742865E-2
3.721113610E-1,8.435800672E-1,-3.490992188E-1,-4.275931045E-3
4.229178130E-1,6.314633489E-1,1.091889441E-1,8.383878320E-2
4.737245320E-1,1.913478971E-1,-9.101624042E-2,1.070509851E-1
5.245303650E-1,4.092676640E-1,-9.177979827E-2,-2.458660305E-2
5.753355210E-1,4.272876680E-1,-8.362498879E-1,1.311794519E-1
6.261414590E-1,1.240019947E-1,-1.695864677E0,5.864133686E-2
6.769481780E-1,-3.565820754E-1,-2.565863848E0,-2.218902707E-1
7.277540630E-1,2.619007528E-1,-1.123195410E0,-3.121429384E-1
7.785592190E-1,2.058555335E-1,-3.985778242E-2,-1.331036210E0
8.293652090E-1,2.684673667E-1,-1.739387512E-1,-1.640583038E0
8.801719280E-1,-8.832851648E-1,-1.374559045E0,-5.680879354E-1
9.309778130E-1,-1.737249613E0,-2.477138281E0,-3.399364948E-1
9.817829690E-1,-3.013614893E0,-3.323314428E0,-4.489727318E-1
1.032588959E0,-4.610217094E0,-4.862955093E0,5.086830258E-1
1.083395678E0,-4.705356598E0,-4.147194862E0,8.614473343E-1
1.134201563E0,-3.000787258E0,-2.838607311E0,8.099834919E-1
1.185006719E0,-1.787339091E0,-2.435447931E0,2.672609568E0
1.235812761E0,-5.544965863E-1,-1.004691005E0,2.006785870E0
1.286619480E0,-6.424586177E-1,8.414421231E-2,1.516733766E0
1.337425365E0,-7.275190949E-1,6.137487888E-1,6.606312990E-1
1.388230573E0,-5.467082933E-2,1.660893679E0,1.228566527E0
1.439036563E0,7.153021693E-1,5.584670901E-1,4.485146105E-1
1.489843334E0,3.442124426E-1,6.894938350E-1,6.612421572E-2
1.540648437E0,-5.812211633E-1,9.371923804E-1,3.333698809E-1
1.591453646E0,-2.266243398E-1,6.826218367E-1,6.589514613E-1
1.642259635E0,3.990359604E-1,3.523061574E-1,1.229330063E0
1.693066406E0,4.326325655E-1,1.061041713E0,4.598152637E-1
1.743872343E0,1.123806238E0,1.455343664E-1,-5.047125220E-1
1.794677500E0,4.634803534E-1,-1.597365588E-1,4.709632397E-1
1.845483541E0,-6.655181050E-1,4.356867969E-1,7.461498976E-1
1.896290312E0,-9.245173335E-1,-1.221236348E0,2.221956849E-1
1.947096250E0,-1.288735032E0,-7.330167294E-1,9.196305275E-1
1.997901458E0,-4.118637741E-1,-1.165343881E0,1.361425877E0
2.048707500E0,-1.015533581E-1,-1.074022174E0,2.157054424E0
2.099514271E0,-2.677038014E-1,-8.344173431E-1,1.976701736E0
2.150320208E0,-1.128845692E0,-8.562551737E-1,1.960208893E0
2.201125416E0,-1.337602735E0,-5.109737515E-1,1.779398084E0
2.251931458E0,-1.370435834E0,-3.950654566E-1,1.681967974E0
2.302738281E0,-6.974348426E-1,-1.647302389E0,1.100594044E0
2.353544218E0,1.291178346E0,-1.626228094E0,-1.380514801E-1
2.404349583E0,2.429034233E0,-1.681662560E0,-4.698942602E-1
2.455155624E0,2.628170252E0,-2.298312783E-1,-3.587200642E-1
2.505962395E0,2.015337706E0,2.750492573E0,1.762294322E-1
2.556768385E0,2.189429283E0,5.099352837E0,3.633930445E0
2.607573593E0,1.751604527E-1,2.815700531E0,2.865331888E0
2.658379635E0,2.187902212E0,2.015795931E-2,-1.371504784E0
2.709186458E0,6.856760383E-2,8.948912621E-1,-6.302416325E-1
2.759992395E0,-1.524369359E0,1.514748454E0,-4.940227270E-1
2.810797656E0,-8.684720993E-1,4.366030693E-1,-3.907895386E-1
2.861603697E0,1.312252641E0,1.484969735E0,-3.964398801E-1
2.912410468E0,2.334963679E-1,-9.972081780E-1,-1.554606259E-1
2.963216458E0,-1.062110662E0,4.373666346E-1,1.003774762E0
3.014021666E0,-2.419107914E0,-1.300188422E0,2.451024652E-1
3.064827760E0,-1.131441832E0,-1.566823244E0,-1.128540277E0
3.115634531E0,-1.642568231E0,6.856760383E-2,-9.901834130E-1
3.166440520E0,-1.522078633E0,-1.311489105E0,-1.408002973E-1
3.217245729E0,-1.108229637E0,-2.660850763E0,-6.077930331E-2
3.268051822E0,-1.453052878E0,-1.399603724E0,1.861557066E-1
3.318858593E0,-2.023431540E0,-9.593356252E-1,1.620272398E-1
3.369664583E0,-1.512915969E0,-7.391251922E-1,2.432699203E-1
3.420469791E0,-2.982461751E-1,-1.230857253E0,-1.211615562E0
3.471275885E0,2.444916248E0,-4.917320311E-1,-1.056460381E0
3.522082708E0,4.440095901E0,-3.778090179E-1,-1.284764528E0
3.572888645E0,2.844563007E0,7.314895838E-2,-6.568135023E-1
3.623693906E0,2.054126501E0,8.330429196E-1,-6.077930331E-1
3.674499947E0,1.457481503E0,1.182600260E0,-7.797465324E-1
3.725306770E0,1.086391807E0,1.483900666E0,-9.306257963E-1
3.776112812E0,-1.389677543E-2,1.673263311E0,-9.417737722E-1
3.826917968E0,-1.575985909E0,1.873773932E0,-1.724116355E-1
3.877724062E0,-1.446791768E0,1.967691779E0,4.062134400E-2
3.928530885E0,4.909684956E-1,1.463284612E0,-1.353637576E0
3.979336822E0,6.108472589E-3,1.138619304E0,-8.852704167E-1
4.030142083E0,4.479037523E-1,-1.233911440E-1,-1.398229361E0
4.080948124E0,-3.139754832E-1,4.150707126E-1,-1.041036487E0
4.131754947E0,-1.560256600E0,-2.511193037E0,1.404948719E-2
4.182560989E0,-1.800777674E0,3.605526090E-1,7.725690603E-1
4.233366145E0,-1.804900885E0,-1.430909634E-1,6.629219651E-1
4.284172239E0,-1.969218850E0,-3.010407925E0,-6.581879407E-2
4.334979062E0,-1.212073684E0,-1.261705041E0,6.998782754E-1
4.385784999E0,-1.096012712E0,-5.758762360E-1,1.150988936E0
4.436590467E0,-1.875301123E0,-1.082726717E0,8.773293495E-1
4.487396509E0,-1.574306130E0,-3.144336343E-1,4.497362971E-1
4.538203331E0,5.045598149E-1,-1.095096469E0,-5.407525301E-1
4.589009373E0,2.617175102E0,6.922426820E-1,-5.140279531E-1
4.639814529E0,4.281886578E0,5.911474228E-1,-7.044596076E-1
4.690620623E0,2.806843042E0,2.214932203E0,-1.053711548E-1
4.741427186E0,2.385511160E0,1.749466538E0,7.201889157E-1
4.792233176E0,2.850213289E0,8.780929446E-2,4.610369802E-1
4.843038436E0,1.709914207E0,2.228065491E0,-2.076880634E-1
4.893844478E0,-5.635065958E-2,2.702388287E0,-4.955498278E-1
4.944651301E0,-1.955474734E0,1.876217365E0,-7.275190949E-1
4.995457342E0,-3.880407214E-1,1.109145880E0,-6.824691296E-1
5.046262498E0,9.411629438E-1,1.715564489E0,-7.359182239E-1
5.097068592E0,-4.428642802E-3,2.168507688E-2,-4.792096615E-1
5.147875415E0,-5.479300022E-1,-2.235395432E0,6.704048514E-1
5.198681353E0,-2.297854662E0,-2.915726662E0,5.670189857E-1
5.249486613E0,-2.349013090E0,-2.160261393E0,4.158342779E-1
5.300292655E0,-2.743620396E0,1.716480851E-1,-6.617003083E-1
5.351099478E0,-1.993194580E0,-1.308740258E0,-1.150378108E0
5.401905206E0,-1.153890491E0,-2.675510883E0,-2.370087355E-1
5.452710363E0,-1.203979969E0,-2.310071707E0,8.672503829E-1
5.503516456E0,-2.285943270E0,1.079672500E-1,9.295567870E-1
5.554323279E0,-2.478512824E-1,-1.497339368E0,2.426590770E-1
5.605129217E0,4.489727318E-2,3.571929336E-1,-4.853181541E-1
5.655934477E0,2.635195017E0,8.929060102E-1,-7.817317843E-1
5.706740571E0,4.184303761E0,2.131856978E-1,-5.523586273E-1
5.757547342E0,2.912367105E0,1.526965380E0,-1.982199401E-1
5.808353331E0,2.367491245E0,2.005106211E0,4.935645759E-1
5.859158540E0,2.605568886E0,2.437280566E-1,-6.016845629E-2
5.909964633E0,1.956543803E0,2.412999392E0,-1.928750277E-1
5.960771456E0,1.374406368E-1,2.768512487E0,-6.438329816E-1
6.011577498E0,-1.952573299E0,1.692046881E0,-8.768712282E-1
6.062382654E0,-1.384790778E0,5.430431962E-1,-5.465555787E-1
6.113188748E0,1.087613583E0,1.995943427E0,-3.851391971E-1
6.163995571E0,9.242119193E-1,5.833591223E-1,-6.413896382E-2
6.214801508E0,1.892099380E-1,-5.152496696E-1,6.620057225E-1
6.265606769E0,-2.655200243E0,-3.180681705E0,4.462239146E-1
6.316412863E0,-2.132467747E0,-1.532921195E0,-2.480039895E-1
6.367219685E0,-1.518260837E0,4.016320705E-1,-3.990359604E-1
6.418025623E0,-1.906912446E0,-7.284353375E-1,-5.245651007E-1
6.468830883E0,-1.310878277E0,-1.437170863E0,-6.526902914E-1
6.519636977E0,-1.372726560E0,-1.363258362E0,-7.895200700E-2
6.570443800E0,-1.698002696E0,-1.355317354E0,4.081986845E-1
6.621249842E0,-2.067107201E0,-7.589777559E-2,6.383354217E-2
6.672054998E0,1.870719790E-1,-1.490314603E0,-1.131594554E-1
6.722861092E0,1.799403310E0,5.207473040E-2,-1.516428292E-1
6.773667915E0,3.917668819E0,1.734806150E-1,1.452289373E-1
6.824473904E0,2.706053257E0,4.723376334E-1,1.282779276E-1
6.875279165E0,1.646538734E0,3.282693148E0,6.108472347E-1
6.926085362E0,1.679066420E0,-6.290199757E-1,-7.482878864E-3
6.976892185E0,1.150378108E0,2.026485801E-1,2.693836391E-1
7.027698175E0,3.158080280E-1,1.352873921E0,-7.380561829E-1
7.078503435E0,-1.424343109E0,1.847507477E0,-5.215108395E-1
7.129309529E0,-1.452442050E0,1.429229856E0,-8.032641411E-1
7.180116352E0,1.394564271E0,1.097387075E0,-8.159392476E-1
7.230922342E0,1.240325332E0,6.836907864E-1,-1.440072358E-1
7.281727602E0,7.408050299E-1,-2.537001371E0,4.784461260E-1
7.332533696E0,-1.134343386E0,-2.704984426E0,1.257887244E0
7.383340571E0,-4.517215490E-1,-4.723223686E0,1.607291818E0
7.434146612E0,-1.526812673E0,-7.857022882E-1,1.539335102E-1
7.484951821E0,-1.819561243E0,-1.613094926E0,-7.547017932E-1
7.535757914E0,-1.154501319E0,-1.564990640E0,2.600682080E-1
7.586564737E0,-6.174138784E-1,-1.128998399E0,9.880454540E-1
7.637370831E0,-1.276365399E0,-4.172086716E-1,9.591829181E-1
7.688176039E0,-1.326454878E0,4.885250926E-1,4.501944184E-1
7.738982133E0,-1.496575773E-2,-1.606528312E-1,-3.741439432E-2
7.789788956E0,2.006327868E0,-1.110978484E0,-7.879929990E-2
7.840595050E0,3.571471214E0,-9.634588361E-1,-1.027750522E-1
7.891400258E0,1.972425818E0,2.582356930E-1,-1.005607247E0
7.942206352E0,2.040229797E0,9.101624042E-2,-8.217422962E-1
7.993013227E0,1.522842169E0,-9.468132630E-3,-5.868715048E-1
8.043819217E0,1.038287640E0,2.854183912E-1,-2.055501044E-1
8.094624477E0,2.797680497E-1,1.574764252E0,1.175880991E-2
8.145430623E0,-8.072346449E-1,1.577971220E0,6.872031838E-2
8.196237446E0,-1.574764252E0,2.529365778E0,-5.283828825E-2
8.247043539E0,-2.156901598E0,5.173112869E0,-7.206470370E-1
8.297848748E0,9.904888272E-1,1.007134438E0,-4.859289825E-1
8.348654842E0,7.062921524E-1,7.956285477E-1,-2.086043358E-1
8.399461717E0,9.315420687E-2,-1.978534222E0,2.825168520E-2
8.450267706E0,-2.052141428E0,-1.731446505E0,6.360446811E-1
8.501073019E0,-2.418802500E0,-2.250972033E0,9.261971712E-1
8.551879112E0,-2.520661116E0,1.136633992E0,-3.897205591E-1
8.602685987E0,-2.282583475E0,-6.106945276E-1,-1.496728539E0
8.653491977E0,-1.583926916E0,-1.260177851E0,-8.715263009E-1
8.704297237E0,-1.399145603E0,-4.851654470E-1,-1.435491070E-2
8.755103643E0,-1.489551067E0,-7.452336550E-1,2.754921019E-1
8.805910466E0,-2.060235023E0,2.675510943E-1,3.071034551E-1
8.856716508E0,2.990097404E-1,-9.546015263E-1,2.728960216E-1
8.907521768E0,1.935774922E0,1.301715493E0,-3.448232710E-1
8.958327914E0,4.119706631E0,1.328592777E0,-5.699204803E-1
9.009134737E0,4.084277630E0,-7.223268598E-2,-1.172826737E-1
9.059940779E0,2.731709003E0,2.857390881E0,2.854183912E-1
9.110745674E0,2.937717199E0,1.649287529E-2,1.420219894E-2
9.161551820E0,2.656880140E0,2.635653257E0,1.666085869E-1
9.212358643E0,7.342383862E-1,3.155178785E0,-3.775036037E-1
9.263164684E0,-1.569724798E0,2.320150614E0,-6.334486008E-1
9.313969945E0,-1.266286373E0,3.681881726E-1,-1.127471328E0
9.364776091E0,1.313932419E0,1.167329073E0,-4.856235534E-2
9.415582914E0,6.181774139E-1,1.456870735E-1,-4.924955964E-1
9.466389528E0,-8.861866593E-1,-2.416817188E0,4.726430774E-1
9.517194737E0,-2.794320822E0,-2.550134659E0,4.083513916E-1
9.568000830E0,-2.719033957E0,-1.949213624E0,1.682884246E-1
9.618807705E0,-3.331713676E0,4.170559645E-1,-1.040731072E0
9.669613695E0,-2.363215446E0,-2.118418217E0,-1.639514089E0
9.720418955E0,-1.354706526E0,-3.043393850E0,-2.756448388E-1
9.771225101E0,-1.213295341E0,-2.097649574E0,8.335011005E-1
9.822031924E0,-2.094289780E0,6.988092661E-1,7.258392572E-1
9.872838018E0,-8.017370105E-2,-1.340656996E0,-8.933641016E-2
9.923643226E0,8.722898960E-1,6.992673874E-1,-4.735593498E-1
9.974449320E0,3.902703047E0,1.314085126E0,-5.444176197E-1
1.002525614E1,4.206599712E0,-6.981984377E-1,-2.932066917E-1
1.007606213E1,2.759960651E0,2.346264362E0,9.956810623E-2
1.012686739E1,2.653673172E0,1.213906169E0,2.299840003E-1
1.017767354E1,2.785158157E0,1.809329629E0,2.038702667E-1
1.022848036E1,1.363258362E0,2.768054247E0,-5.925218463E-1
1.027928640E1,-8.724426031E-1,2.770803213E0,-1.064095974E0
1.033009156E1,-1.767181158E0,4.781406820E-1,-1.521620512E0
1.038089765E1,1.045617819E0,1.538266063E0,2.614426315E-1
1.043170448E1,4.911212027E-1,4.460712075E-1,-6.615476012E-1
1.048251047E1,-8.874083757E-1,-2.583578587E0,4.561502039E-1
1.053331573E1,-2.105132341E0,-2.223636627E0,7.029324770E-1
1.058412182E1,-2.590450525E0,-2.180572033E0,3.695625961E-1
1.063492859E1,-3.134104490E0,9.576557875E-1,-8.915315866E-1
1.068573458E1,-2.173699856E0,-1.700598717E0,-1.580719948E0
1.073653984E1,-1.405101418E0,-2.814020634E0,-2.927485406E-1
1.078734588E1,-1.158319116E0,-3.054541826E0,7.094991207E-1
1.083815270E1,-2.302436113E0,7.272136807E-1,8.029587269E-1
1.088895864E1,-8.092198968E-1,-8.246437907E-1,1.985253533E-3
1.093976385E1,7.029324770E-1,3.619270027E-1,-2.605263591E-1
1.099056994E1,3.626142025E0,7.560762167E-1,-2.883199155E-1
1.104137672E1,4.204614162E0,1.517955512E-1,-5.926745534E-1
1.109218265E1,2.675969124E0,2.087723255E0,-3.040492237E-1
1.114298786E1,2.699792147E0,1.362952948E0,2.093679011E-1
1.119379390E1,2.922751427E0,1.618287086E0,1.772984117E-1
1.124460073E1,1.556591511E0,2.952988386E0,-4.037700295E-1
1.129540672E1,-5.335750580E-1,3.164494276E0,-8.389987350E-1
1.134621182E1,-1.851783514E0,4.427115619E-1,-1.517802715E0
1.139701786E1,9.683456421E-1,1.514748454E0,1.362189353E-1
1.144782463E1,7.366818190E-1,6.529957056E-1,-6.187883019E-1
1.149863057E1,-5.783196688E-1,-2.398186445E0,4.254551232E-1
1.154943578E1,-2.449802876E0,-2.675510883E0,5.285356045E-1
1.160024177E1,-2.502946615E0,-2.926874638E0,5.276193023E-1
1.165104854E1,-3.437848330E0,1.112658262E0,-7.166765332E-1
1.170185442E1,-2.184542418E0,-1.979755998E0,-1.518718958E0
1.175265963E1,-1.307976723E0,-2.984447002E0,-4.262186885E-1
1.180346562E1,-1.407544851E0,-2.958944082E0,6.103891134E-1
1.185427239E1,-2.153847456E0,7.809682488E-1,8.460234404E-1
1.190507828E1,-2.921377122E-1,-1.276212692E0,3.665083647E-2
1.195588344E1,5.900784731E-1,7.962393761E-1,-5.358657837E-1
1.200668942E1,4.005020142E0,8.617527485E-1,-3.286358118E-1
1.205749614E1,3.877352953E0,-6.120689511E-1,-2.983988822E-1
1.210830203E1,2.847769976E0,2.540819168E0,6.306997687E-2
1.215910718E1,2.616869688E0,2.779355086E-2,2.686200738E-1
1.220991317E1,2.792793751E0,2.406738281E0,1.667613089E-1
1.226071989E1,1.367686987E0,2.883962631E0,-4.353813827E-1
1.231152578E1,-7.791357040E-1,2.859681368E0,-8.150229454E-1
1.236233094E1,-1.773747683E0,1.028055906E0,-1.873010397E0
1.241313687E1,4.564556181E-1,7.020162344E-1,-1.699682474E-1
1.246394359E1,1.344474792E0,1.088377118E0,-4.763081372E-1
1.251474953E1,3.150444627E-1,-5.775560737E-1,4.915793240E-1
1.256555458E1,-2.326869965E0,-2.818601847E0,3.917058110E-1
1.261636052E1,-2.999259949E0,-3.757627010E0,4.543176591E-1
1.266716724E1,-2.936495543E0,3.796415627E-1,1.107160673E-1
1.271797307E1,-2.568612814E0,-1.232384324E0,-1.556896925E0
1.276877823E1,-1.600267053E0,-3.214736462E0,-1.003469348E0
1.281958416E1,-1.170841455E0,-2.663752079E0,4.262186885E-1
1.287039083E1,-1.409682751E0,-5.184566379E-1,9.994988441E-1
1.292119666E1,-1.336075664E0,-5.836645365E-1,5.764871240E-1
1.297200177E1,-1.985253543E-1,1.443126649E-1,-1.818797737E-1
1.302280770E1,1.315459609E0,1.705790907E-1,-4.815003574E-1
1.307361437E1,3.907131672E0,1.597823739E0,-5.037962794E-1
1.312442021E1,3.942560911E0,-1.282473803E0,-2.626643181E-1
1.317522531E1,2.709871054E0,2.126664639E0,2.678565085E-1
1.322603125E1,2.568612814E0,6.317687631E-1,1.229330078E-1
1.327683786E1,2.706358671E0,2.450413704E0,5.848862603E-2
1.332764370E1,1.064706802E0,3.019876242E0,-8.119687438E-1
1.337844880E1,-1.111742020E0,2.686048031E0,-1.179545999E0
1.342925468E1,-1.797723532E0,6.852179170E-1,-1.723505497E0
1.348006135E1,9.437590241E-1,1.541167617E0,-3.512371797E-3
1.353086713E1,1.018893242E0,9.790354371E-1,-7.221741676E-1
1.358167224E1,-3.252761662E-1,-1.960819721E0,4.033119082E-1
1.363247812E1,-1.867054701E0,-1.801541328E0,3.526115716E-1
1.368328474E1,-2.590450525E0,-3.617131948E0,7.728744745E-1
1.373409052E1,-2.652451515E0,6.965186000E-1,3.680354729E-2
1.378489562E1,-2.570292473E0,-1.202911019E0,-1.570641041E0
1.383570151E1,-1.295454383E0,-2.360313892E0,-6.778877378E-1
1.388650812E1,-1.006676316E0,-2.560824394E0,4.845545888E-1
1.393731390E1,-1.963415861E0,-5.725166202E-1,8.968765140E-1
1.398811896E1,-1.420678020E0,-2.962609231E-1,6.163448691E-1
1.403892484E1,2.779355086E-2,-2.330382317E-1,-1.531699449E-1
1.408973146E1,1.904163599E0,5.164713860E-1,-8.435800672E-1
1.414053724E1,4.216067791E0,1.368908763E0,-6.227588058E-1
1.419134224E1,3.532377005E0,-3.649812192E-2,-4.856235534E-2
1.424214812E1,2.714605331E0,2.013505220E0,4.381301999E-1
1.429295474E1,2.771566629E0,3.071034551E-1,-5.467082933E-2
1.434376047E1,2.560977221E0,2.736290216E0,-3.344388679E-2
1.439456552E1,6.975875497E-1,2.875868797E0,-7.273663878E-1
1.444537135E1,-1.462368369E0,1.976854444E0,-1.229788303E0
1.449617796E1,-1.092194915E0,-4.672981426E-2,-1.258650780E0
1.454698369E1,8.139539957E-1,1.864916682E0,-1.441599578E-1
1.459778874E1,3.816268146E-1,-1.902789176E-1,-3.248180151E-1
1.464859458E1,-6.714738607E-1,-2.506764412E0,3.216110766E-1
1.469940114E1,-3.051945686E0,-3.140518427E0,6.013791561E-1
1.475020692E1,-2.338170528E0,-1.767333865E0,8.967237473E-1
1.480101192E1,-3.093636036E0,6.015318632E-1,-8.290724158E-1
1.485181776E1,-1.866596460E0,-1.765501261E0,-1.342795014E0
1.490262432E1,-1.215891480E0,-2.919086456E0,-2.557922900E-1
1.495343005E1,-1.420067191E0,-2.135063887E0,7.568397522E-1
1.500423505E1,-1.913479090E0,2.786990702E-1,9.440644383E-1
1.505504088E1,-5.099047422E-1,-8.800781965E-1,1.919587553E-1
1.510584744E1,5.413633585E-1,6.641436815E-1,-5.228852630E-1
1.515665317E1,3.577732325E0,7.171346545E-1,-7.169819474E-1
1.520745817E1,3.824056625E0,-1.540862173E-1,-4.242334068E-1
1.525826395E1,2.845326424E0,2.142852068E0,1.618745178E-1
