"Time (s)","Distance (cm)"
4.181404690E-1,5.000000000E0
1.525967708E0,0.000000000E0
4.334782551E0,5.000000000E0
4.750588384E0,0.000000000E0
5.400557342E0,5.000000000E0
6.934992914E0,0.000000000E0
8.768781455E0,5.000000000E0
9.101045882E0,0.000000000E0
9.467711299E0,5.000000000E0
1.504436138E2,0.000000000E0
1.507857158E2,5.000000000E0
2.497434464E2,0.000000000E0
2.499473697E2,5.000000000E0
3.512351267E2,0.000000000E0
3.514346240E2,5.000000000E0
3.522256871E2,0.000000000E0
3.524180024E2,5.000000000E0
3.890098289E2,0.000000000E0
3.891677685E2,5.000000000E0
